"Name","Runtime","Notes","Tags","ID","State","User","Group","Job Type","Created","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","catch_dropout","early_stopping_patience","insert_dropout","learning_rate","max_train_steps","num_train_epochs","num_warmup_steps","output_dir","dataset_seed","beta1","beta2","early_stopping_min_delta","evaluation_steps","gradient_accumulation_steps","ignore_mismatched_sizes","lr_scheduler_type","max_length","model_name_or_path","original_gradient_fraction","pad_to_max_length","param_config_id","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","run_generation","seed","task","task_name","train_data_frac","training_size","use_modded","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","accuracy","avg_grad_diff_all_classes","avg_grad_diff_per_class","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","epoch","eval_loss","eval_p_max","eval_p_var","train_st1_loss","train_st1_p_max","train_st2_loss","train_st2_p_max","accuracy.max","accuracy_mm","avg_eval_p_max","avg_eval_p_var","avg_train_p0","avg_train_p_max","avg_train_p_var","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","eval_loss.min","eval_loss_mm","eval_p_max_mm","eval_p_var_mm","f1","matthews_correlation","pearson","spearmanr","train_loss","train_p_max","train_p_var"
"18_SWP4_ID_134_MOD","886","-","SWP4, modded","jh4u5szb","finished","ricu","","","2023-12-26T11:47:49.000Z","2023-12-26T12:02:35.000Z","2023-12-26T12:02:35.000Z","","drax","","","","2","NVIDIA A40","0","25","0.32","0.000008","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_04_modded/run_134","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0790","128","32","false","all","18_sweeps","3","","qnli","","64","","false","0.1","0.01","true","0.6137653304045396","0.0006250824080780149","{""bins"":[0.0000012984913837499334,0.00007891249697422609,0.00015652651200070977,0.00023414051975123584,0.0003117545275017619,0.000389368535252288,0.00046698254300281405,0.0005445965216495097,0.0006222105585038662,0.0006998245371505618,0.0007774385740049183,0.000855052552651614,0.0009326665895059705,0.001010280568152666,0.0010878945467993617,0.0011655086418613791,0.0012431226205080748,0.0013207365991547704,0.001398350577801466,0.0014759646728634834,0.001553578651510179,0.0016311926301568747,0.0017088066088035703,0.0017864207038655877,0.0018640346825122833,0.001941648661158979,0.0020192626398056746,0.002096876734867692,0.0021744905970990658,0.0022521046921610832,0.0023297187872231007,0.0024073326494544744,0.002484946744516492],""values"":[62,59,52,63,64,47,54,41,39,32,39,34,27,27,23,21,17,11,12,5,7,9,9,2,6,0,2,1,0,1,0,2],""_type"":""histogram""}","0.6216364634816035","69","140","0.68112713098526","59","120","119","0.9122799634933472","0.8259379267692566","0.25194329023361206","0.042115096002817154","0.9591944217681884","0.03419610112905502","0.9671913385391236","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP4_ID_133_MOD","919","-","SWP4, modded","7s2jxxbw","finished","ricu","","","2023-12-26T11:32:09.000Z","2023-12-26T11:47:28.000Z","2023-12-26T11:47:28.000Z","","drax","","","","2","NVIDIA A40","0","25","0.32","0.000008","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_04_modded/run_133","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0790","128","32","false","all","18_sweeps","2","","qnli","","64","","false","0.1","0.01","true","0.6875343218012081","0.00045546010369434953","{""bins"":[0.0000011227533605051576,0.000060241502069402486,0.00011936025111936033,0.00017847899289336056,0.000237597749219276,0.00029671649099327624,0.0003558352473191917,0.0004149539745412767,0.00047407273086719215,0.0005331914871931076,0.0005923102144151926,0.0006514289998449385,0.0007105477270670235,0.0007696664542891085,0.0008287852397188544,0.0008879039669409394,0.0009470226941630244,0.0010061414213851094,0.0010652602650225163,0.0011243789922446012,0.0011834977194666862,0.0012426164466887712,0.0013017351739108562,0.0013608539011329412,0.001419972744770348,0.001479091471992433,0.001538210199214518,0.001597328926436603,0.001656447653658688,0.001715566380880773,0.00177468522451818,0.001833803951740265,0.00189292267896235],""values"":[71,60,57,57,49,43,60,55,50,35,31,37,26,24,25,24,11,11,7,7,5,8,5,1,1,3,2,0,0,2,0,1],""_type"":""histogram""}","0.6886326194398682","73","148","0.6195560693740845","37","76","123","0.8267791271209717","0.9042565822601318","0.34597665071487427","0.02939658612012863","0.971084713935852","0.040157608687877655","0.9614030122756958","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP4_ID_132_MOD","1109","-","SWP4, modded","563rmf65","finished","ricu","","","2023-12-26T11:13:20.000Z","2023-12-26T11:31:49.000Z","2023-12-26T11:31:49.000Z","","drax","","","","2","NVIDIA A40","0","25","0.32","0.000008","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_04_modded/run_132","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0790","128","32","false","all","18_sweeps","1","","qnli","","64","","false","0.1","0.01","true","0.6825919824272377","0.0003883979807142168","{""bins"":[0.0000012862900575782987,0.00005343868542695418,0.00010559107613516971,0.00015774347411934286,0.0002098958648275584,0.00026204827008768916,0.00031420064624398947,0.00036635305150412023,0.00041850542766042054,0.0004706578329205513,0.0005228102090768516,0.0005749626434408128,0.0006271150195971131,0.0006792673957534134,0.0007314198301173747,0.000783572206273675,0.0008357245824299753,0.0008878769585862756,0.0009400293929502368,0.000992181827314198,0.0010443341452628374,0.0010964865796267986,0.001148638897575438,0.0012007913319393992,0.0012529437663033605,0.0013050960842519999,0.001357248518615961,0.0014094009529799223,0.0014615532709285617,0.001513705705292523,0.0015658581396564841,0.0016180104576051235,0.0016701628919690847],""values"":[69,59,56,67,60,54,48,55,48,34,38,32,24,18,23,20,18,7,9,6,6,7,1,4,0,1,1,1,0,1,0,1],""_type"":""histogram""}","0.6829580816401245","99","200","0.6175896525382996","29","60","149","0.9804376363754272","0.9384687542915344","0.39725610613822937","0.026385372504591945","0.9739724397659302","0.03602255880832672","0.9653775691986084","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP4_ID_131_MOD","743","-","SWP4, modded","sr3pqpq1","finished","ricu","","","2023-12-26T11:00:36.000Z","2023-12-26T11:12:59.000Z","2023-12-26T11:12:59.000Z","","drax","","","","2","NVIDIA A40","0","25","0.32","0.00001","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_04_modded/run_131","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0789","128","32","false","all","18_sweeps","3","","qnli","","64","","false","0.1","0.01","true","0.6209042650558302","0.0004349511582404375","{""_type"":""histogram"",""bins"":[8.477405231133162e-7,0.00005487818634719588,0.00010890863632084802,0.00016293907538056374,0.00021696952171623707,0.0002709999680519104,0.00032503041438758373,0.00037906086072325706,0.0004330913070589304,0.00048712175339460373,0.0005411521997302771,0.0005951826460659504,0.0006492130924016237,0.0007032435387372971,0.0007572739850729704,0.0008113044314086437,0.0008653348777443171,0.0009193653240799904,0.0009733957704156637,0.001027426216751337,0.0010814566630870104,0.0011354871094226837,0.001189517555758357,0.0012435480020940304,0.0012975784484297037,0.001351608894765377,0.0014056393411010504,0.0014596697874367237,0.001513700233772397,0.0015677306801080704,0.0016217611264437437,0.001675791572779417,0.0017298220191150904],""values"":[62,60,52,64,61,47,56,40,40,30,38,37,27,27,22,21,18,11,11,5,7,9,9,2,6,0,2,1,0,1,0,2]}","0.6256635548233571","49","100","0.6735965609550476","47","96","99","0.929852306842804","0.8355242609977722","0.2642790675163269","0.033742763102054596","0.9671025276184082","0.028127729892730713","0.9725281000137328","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP4_ID_130_MOD","1474","-","SWP4, modded","jk23d3mi","finished","ricu","","","2023-12-26T10:35:42.000Z","2023-12-26T11:00:16.000Z","2023-12-26T11:00:16.000Z","","drax","","","","2","NVIDIA A40","0","25","0.32","0.00001","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_04_modded/run_130","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0789","128","32","false","all","18_sweeps","2","","qnli","","64","","false","0.1","0.01","true","0.6957715540911587","0.00021632827701978383","{""values"":[71,56,59,59,50,42,62,53,46,40,32,34,26,25,27,22,13,10,6,7,5,9,4,1,1,3,2,0,0,2,0,1],""_type"":""histogram"",""bins"":[1.0316784937458578e-7,0.00002821254383889027,0.000056321918236790225,0.00008443129627266899,0.00011254067067056894,0.0001406500523444265,0.00016875941946636885,0.00019686880114022642,0.00022497816826216877,0.00025308754993602633,0.0002811969316098839,0.000309306284179911,0.0003374156658537686,0.00036552504752762616,0.0003936344292014837,0.0004217438108753413,0.0004498531634453684,0.000477962545119226,0.0005060718976892531,0.0005341813084669411,0.0005622906610369682,0.0005904000718146563,0.0006185094243846834,0.0006466187769547105,0.0006747281877323985,0.0007028375403024256,0.0007309469510801136,0.0007590563036501408,0.0007871656562201679,0.0008152750669978559,0.000843384419567883,0.000871493830345571,0.0008996031829155982]}","0.6957715540911587","199","400","0.6250444650650024","31","64","199","0.9400590658187866","0.931272566318512","0.38972339034080505","0.013047754764556885","0.9870495796203612","0.01695963367819786","0.9833022356033324","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP4_ID_129_MOD","647","-","SWP4, modded","34hnpcp5","finished","ricu","","","2023-12-26T10:24:33.000Z","2023-12-26T10:35:20.000Z","2023-12-26T10:35:20.000Z","","drax","","","","2","NVIDIA A40","0","25","0.32","0.00001","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_04_modded/run_129","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0789","128","32","false","all","18_sweeps","1","","qnli","","64","","false","0.1","0.01","true","0.6809445359692476","0.0005310397245921195","{""bins"":[7.978920848472626e-7,0.0000721371325198561,0.0001434763689758256,0.00021481560543179512,0.0002861548273358494,0.00035749407834373415,0.00042883330024778843,0.0005001725512556732,0.0005715118022635579,0.0006428510532714427,0.0007141902460716665,0.0007855294970795512,0.000856868748087436,0.0009282079990953207,0.0009995471918955445,0.0010708865011110902,0.001142225693911314,0.0012135648867115378,0.0012849041959270835,0.0013562433887273073,0.0014275825815275311,0.0014989218907430768,0.0015702610835433006,0.0016416003927588463,0.0017129395855590701,0.001784278778359294,0.0018556180875748396,0.0019269572803750634,0.0019982964731752872,0.002069635782390833,0.0021409750916063786,0.0022123141679912806,0.002283653477206826],""values"":[68,61,51,72,60,53,47,56,48,33,35,37,23,19,22,20,18,8,8,5,7,7,1,4,0,1,1,1,0,1,0,1],""_type"":""histogram""}","0.6849716273110013","37","76","0.6161502003669739","23","48","87","0.8992044925689697","0.923050820827484","0.3701347410678863","0.04168696328997612","0.9592410922050476","0.05490545928478241","0.9480491876602172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP4_ID_128_MOD","593","-","SWP4, modded","76e6pdv3","finished","ricu","","","2023-12-26T10:14:19.000Z","2023-12-26T10:24:12.000Z","2023-12-26T10:24:12.000Z","","drax","","","","2","NVIDIA A40","0","25","0.32","0.00002","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_04_modded/run_128","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0788","128","32","false","all","18_sweeps","3","","qnli","","64","","false","0.1","0.01","true","0.6313380926231008","0.00012704008258879185","{""bins"":[4.900449539491092e-7,0.00001627384699531831,0.00003205765096936375,0.00004784145130543038,0.00006362525164149702,0.00007940905925352126,0.0000951928595895879,0.00011097665992565453,0.00012676046753767878,0.0001425442605977878,0.00015832806820981205,0.0001741118758218363,0.0001898956688819453,0.00020567947649396956,0.0002214632841059938,0.00023724707716610283,0.0002530308847781271,0.0002688146778382361,0.00028459850000217557,0.0003003822930622846,0.0003161660861223936,0.00033194987918250263,0.0003477337013464421,0.0003635174944065511,0.00037930128746666014,0.0003950851096305996,0.00041086890269070864,0.00042665269575081766,0.00044243651791475713,0.00045822031097486615,0.00047400410403497517,0.0004897878970950842,0.0005055717192590237],""values"":[64,55,54,67,60,44,58,38,40,36,34,37,27,27,23,20,20,9,11,5,7,10,7,3,6,0,2,1,0,1,1,1],""_type"":""histogram""}","0.648361706022332","31","64","0.660103440284729","29","60","81","1.1581090688705444","0.8956422209739685","0.3452740013599396","0.007911425083875656","0.9921320676803588","0.010370997712016106","0.98971688747406","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP4_ID_127_MOD","1421","-","SWP4, modded","36epnczi","finished","ricu","","","2023-12-26T09:50:16.000Z","2023-12-26T10:13:57.000Z","2023-12-26T10:13:57.000Z","","drax","","","","2","NVIDIA A40","0","25","0.32","0.00002","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_04_modded/run_127","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0788","128","32","false","all","18_sweeps","2","","qnli","","64","","false","0.1","0.01","true","0.7019952407102324","0.00006208127160789445","{""bins"":[5.0518515593012125e-8,0.00000811822792456951,0.00001618593705643434,0.00002425364618829917,0.000032321357139153406,0.00004038906627101824,0.00004845677540288307,0.0000565244845347479,0.00006459219002863392,0.00007265990279847756,0.00008072760829236358,0.00008879532106220722,0.00009686303383205086,0.00010493073932593688,0.00011299845209578052,0.00012106615758966655,0.00012913387035951018,0.00013720158312935382,0.00014526928134728223,0.00015333699411712587,0.0001614047068869695,0.00016947241965681314,0.00017754011787474155,0.0001856078306445852,0.00019367554341442883,0.00020174325618427247,0.00020981095440220088,0.00021787866717204452,0.00022594637994188815,0.0002340140927117318,0.0002420817909296602,0.00025014951825141907,0.0002582172164693475],""values"":[66,62,54,55,58,45,60,52,47,36,36,30,28,30,21,24,14,9,6,9,4,9,3,2,1,2,2,0,0,2,0,1],""_type"":""histogram""}","0.7029104887424492","179","360","0.6165697574615479","21","44","199","1.2007732391357422","0.9642241597175598","0.443250834941864","0.0037671090103685856","0.996240735054016","0.005270601250231266","0.9947494268417358","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP4_ID_126_MOD","573","-","SWP4, modded","7sm6yn5k","finished","ricu","","","2023-12-26T09:40:22.000Z","2023-12-26T09:49:55.000Z","2023-12-26T09:49:55.000Z","","drax","","","","2","NVIDIA A40","0","25","0.32","0.00002","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_04_modded/run_126","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0788","128","32","false","all","18_sweeps","1","","qnli","","64","","false","0.1","0.01","true","0.6798462383305875","0.00012847405741922557","{""_type"":""histogram"",""bins"":[8.536446216567128e-8,0.000017382857549819164,0.00003468034992692992,0.00005197784412303008,0.00006927533831913024,0.0000865728288772516,0.00010387032671133056,0.00012116781726945192,0.00013846531510353088,0.00015576279838569462,0.0001730602962197736,0.00019035779405385256,0.0002076552773360163,0.00022495277517009526,0.00024225027300417423,0.00025954775628633797,0.00027684526867233217,0.0002941427519544959,0.00031144023523665965,0.00032873774762265384,0.0003460352309048176,0.0003633327141869813,0.0003806302265729755,0.00039792770985513926,0.000415225193137303,0.0004325227055232972,0.00044982018880546093,0.00046711767208762467,0.00048441518447361887,0.0005017126677557826,0.0005190101801417768,0.0005363076343201101,0.0005536051467061043],""values"":[67,62,56,67,60,50,56,47,50,33,43,31,24,16,22,22,17,7,9,7,5,7,2,3,0,1,1,1,0,1,0,1]}","0.685337726523888","29","60","0.6159874796867371","19","40","79","1.219351887702942","0.9615626335144044","0.43749961256980896","0.008731422945857048","0.9913084506988524","0.012447945773601532","0.9876956343650818","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP4_ID_125_MOD","503","-","SWP4, modded","txcuz6k2","finished","ricu","","","2023-12-26T09:31:38.000Z","2023-12-26T09:40:01.000Z","2023-12-26T09:40:01.000Z","","drax","","","","2","NVIDIA A40","0","25","0.32","0.00004","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_04_modded/run_125","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0787","128","32","false","all","18_sweeps","3","","qnli","","64","","false","0.1","0.01","true","0.6047958996888156","0.000021893032680964097","{""bins"":[1.3427998624138127e-7,0.000002856685568985995,0.000005579091521212831,0.000008301496563944966,0.000011023902516171802,0.000013746308468398638,0.000016468713511130773,0.00001919112037285231,0.000021913525415584445,0.00002463593045831658,0.000027358337320038117,0.000030080742362770252,0.00003280314922449179,0.000035525554267223924,0.00003824795930995606,0.00004097036435268819,0.00004369276939542033,0.00004641517443815246,0.000049137583118863404,0.00005185998816159554,0.00005458239320432767,0.00005730479824705981,0.00006002720328979194,0.00006274961197050288,0.00006547201337525621,0.00006819442205596715,0.00007091682346072048,0.00007363923214143142,0.00007636164082214236,0.00007908404222689569,0.00008180645090760663,0.00008452885231235996,0.0000872512609930709],""values"":[67,52,53,65,66,43,55,42,40,32,34,40,25,26,26,19,20,8,11,5,8,11,5,4,5,1,1,1,0,1,1,1],""_type"":""histogram""}","0.6395753249130515","19","40","0.6593493223190308","19","40","69","1.6416211128234863","0.9349897503852844","0.4035043120384216","0.0015325900167226791","0.9984689354896544","0.002290775766596198","0.9977133274078368","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
