"Name","Runtime","Notes","Tags","ID","State","User","Group","Job Type","Created","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","catch_dropout","early_stopping_patience","insert_dropout","learning_rate","max_train_steps","num_train_epochs","num_warmup_steps","output_dir","dataset_seed","beta1","beta2","early_stopping_min_delta","evaluation_steps","gradient_accumulation_steps","ignore_mismatched_sizes","lr_scheduler_type","max_length","model_name_or_path","original_gradient_fraction","pad_to_max_length","param_config_id","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","run_generation","seed","task","task_name","train_data_frac","training_size","use_modded","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","accuracy","avg_grad_diff_all_classes","avg_grad_diff_per_class","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","epoch","eval_loss","eval_p_max","eval_p_var","train_st1_loss","train_st1_p_max","train_st2_loss","train_st2_p_max","accuracy.max","accuracy_mm","avg_eval_p_max","avg_eval_p_var","avg_train_p0","avg_train_p_max","avg_train_p_var","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","eval_loss.min","eval_loss_mm","eval_p_max_mm","eval_p_var_mm","f1","matthews_correlation","pearson","spearmanr","train_loss","train_p_max","train_p_var"
"18_SWP4_ID_018_MOD","179","-","NEW_GRAD_OUTPUT, SWP4, modded","syujwiar","running","ricu","","","2023-12-31T13:48:58.000Z","2023-12-31T13:51:57.000Z","2023-12-31T13:51:57.000Z","","drax","","","","2","NVIDIA A40","0","25","0.08","0.00004","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_04_modded/run_018","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0752","128","32","false","all","18_sweeps","1","","qnli","","64","","false","0.1","0.01","true","0.6767343950210507","0.013046366162598131","[0.013046365231275558,0.013046367093920708]","0.6855207761303314","19","40","0.6245517134666443","17","36","27","0.7188558578491211","0.834510862827301","0.2528143525123596","0.09427439421415328","0.9119683504104614","0.09393522143363953","0.9124635457992554","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP4_ID_017_MOD","1375","-","NEW_GRAD_OUTPUT, SWP4, modded","bn636gvj","finished","ricu","","","2023-12-31T13:25:40.000Z","2023-12-31T13:48:35.000Z","2023-12-31T13:48:35.000Z","","drax","","","","2","NVIDIA A40","0","25","0.08","0.00006","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_04_modded/run_017","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0751","128","32","false","all","18_sweeps","3","","qnli","","64","","false","0.1","0.01","true","0.6177924217462932","0.00005453658013720997","[0.000054532305512111634,0.0000545408547623083]","0.6190737689913967","193","388","0.7101287841796875","11","24","243","2.00142765045166","0.9550513029098512","0.43350812792778015","0.00010547116107773036","0.9998944997787476","0.00015988064114935696","0.9998401403427124","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP4_ID_016_MOD","1177","-","NEW_GRAD_OUTPUT, SWP4, modded","2in7z4cu","finished","ricu","","","2023-12-31T13:05:42.000Z","2023-12-31T13:25:19.000Z","2023-12-31T13:25:19.000Z","","drax","","","","2","NVIDIA A40","0","25","0.08","0.00006","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_04_modded/run_016","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0751","128","32","false","all","18_sweeps","2","","qnli","","64","","false","0.1","0.01","true","0.7003477942522424","0.0000757344241719693","[0.00007573818584205583,0.00007573066977784038]","0.7012630422844591","159","320","0.6280093193054199","15","32","209","1.6413853168487549","0.9721657633781432","0.4580166041851044","0.0002300860360264778","0.999769926071167","0.00030251985299400985","0.9996975064277648","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP4_ID_015_MOD","386","-","NEW_GRAD_OUTPUT, SWP4, modded","loidpn5a","finished","ricu","","","2023-12-31T12:58:53.000Z","2023-12-31T13:05:19.000Z","2023-12-31T13:05:19.000Z","","drax","","","","2","NVIDIA A40","0","25","0.08","0.00006","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_04_modded/run_015","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0751","128","32","false","all","18_sweeps","1","","qnli","","64","","false","0.1","0.01","true","0.6809445359692476","0.00027902863803319633","[0.00027903448790311813,0.0002790227881632745]","0.6869851729818781","17","36","0.6238991618156433","13","28","67","1.6160537004470823","0.9722998142242432","0.45729029178619385","0.0010318930726498363","0.9989686012268066","0.0012682725209742785","0.998732566833496","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP4_ID_014_MOD","608","-","NEW_GRAD_OUTPUT, SWP4, modded","b0teqmrv","finished","ricu","","","2023-12-31T12:48:23.000Z","2023-12-31T12:58:31.000Z","2023-12-31T12:58:31.000Z","","drax","","","","2","NVIDIA A40","0","25","0.04","0.000008","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_04_modded/run_014","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0750","128","32","false","all","18_sweeps","3","","qnli","","64","","false","0.1","0.01","true","0.5420098846787479","0.008257169276475906","[0.008257165551185608,0.008257171139121056]","0.5617792421746294","57","116","0.7420119643211365","25","52","107","0.9380564093589784","0.7898889780044556","0.1992923766374588","0.053034283220767975","0.9491947293281556","0.05632903799414635","0.9460975527763368","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP4_ID_013_MOD","632","-","NEW_GRAD_OUTPUT, SWP4, modded","c02warvs","finished","ricu","","","2023-12-31T12:37:28.000Z","2023-12-31T12:48:00.000Z","2023-12-31T12:48:00.000Z","","drax","","","","2","NVIDIA A40","0","25","0.04","0.000008","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_04_modded/run_013","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0750","128","32","false","all","18_sweeps","2","","qnli","","64","","false","0.1","0.01","true","0.6899139666849716","0.001691954443231225","[0.0016919485060498118,0.00169196049682796]","0.6950393556653853","61","124","0.6209812164306641","33","68","111","0.8226594924926758","0.8902999758720398","0.33413422107696533","0.011001929640769958","0.9890636205673218","0.012171602807939053","0.9879083633422852","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP4_ID_012_MOD","465","-","NEW_GRAD_OUTPUT, SWP4, modded","55spswfb","finished","ricu","","","2023-12-31T12:29:22.000Z","2023-12-31T12:37:07.000Z","2023-12-31T12:37:07.000Z","","drax","","","","2","NVIDIA A40","0","25","0.04","0.000008","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_04_modded/run_012","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0750","128","32","false","all","18_sweeps","1","","qnli","","64","","false","0.1","0.01","true","0.6772835438403807","0.0033151786774396896","[0.0033151768147945404,0.003315180540084839]","0.6818597840014644","31","64","0.6288180947303772","21","44","81","0.868911623954773","0.89858078956604","0.33878251910209656","0.028322679921984673","0.9720996022224426","0.03060388565063477","0.9698988795280457","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP4_ID_011_MOD","535","-","NEW_GRAD_OUTPUT, SWP4, modded","krxarhed","finished","ricu","","","2023-12-31T12:20:05.000Z","2023-12-31T12:29:00.000Z","2023-12-31T12:29:00.000Z","","drax","","","","2","NVIDIA A40","0","25","0.04","0.00001","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_04_modded/run_011","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0749","128","32","false","all","18_sweeps","3","","qnli","","64","","false","0.1","0.01","true","0.5445725791689547","0.006630329415202141","[0.006630333140492439,0.006630325689911842]","0.5588504484715358","43","88","0.7378121018409729","23","48","93","0.947050154209137","0.7962879538536072","0.2069348245859146","0.050291527062654495","0.9517495036125184","0.05369546264410019","0.9485989809036256","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP4_ID_010_MOD","580","-","NEW_GRAD_OUTPUT, SWP4, modded","4xpg8d5i","finished","ricu","","","2023-12-31T12:10:03.000Z","2023-12-31T12:19:43.000Z","2023-12-31T12:19:43.000Z","","drax","","","","2","NVIDIA A40","0","25","0.04","0.00001","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_04_modded/run_010","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0749","128","32","false","all","18_sweeps","2","","qnli","","64","","false","0.1","0.01","true","0.6924766611751785","0.001386884949170053","[0.0013868892565369606,0.0013868806418031454]","0.6935749588138386","53","108","0.6179533004760742","31","64","103","0.8516889810562134","0.8968121409416199","0.34467577934265137","0.00826418399810791","0.991772711277008","0.009423067793250084","0.9906262159347534","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP4_ID_009_MOD","451","-","NEW_GRAD_OUTPUT, SWP4, modded","xpgnr4yp","finished","ricu","","","2023-12-31T12:02:09.000Z","2023-12-31T12:09:40.000Z","2023-12-31T12:09:40.000Z","","drax","","","","2","NVIDIA A40","0","25","0.04","0.00001","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_04_modded/run_009","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0749","128","32","false","all","18_sweeps","1","","qnli","","64","","false","0.1","0.01","true","0.6756360973823906","0.0023214840330183506","[0.0023214858956635,0.002321482170373202]","0.6831411312465678","27","56","0.6281973719596863","29","60","79","0.9249051809310912","0.9126005172729492","0.36111360788345337","0.01865413412451744","0.9815263152122498","0.01995374821126461","0.980254590511322","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
