"Name","Runtime","Notes","Tags","State","ID","User","Group","Job Type","Created","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","insert_dropout","param_config_id","seed","beta1","beta2","catch_dropout","dataset_seed","early_stopping_min_delta","early_stopping_patience","evaluation_steps","gradient_accumulation_steps","ignore_mismatched_sizes","learning_rate","lr_scheduler_type","max_length","max_train_steps","model_name_or_path","no_checkpointing","num_train_epochs","num_warmup_steps","original_gradient_fraction","output_dir","pad_to_max_length","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","run_generation","task","task_name","train_data_frac","training_size","use_modded","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","accuracy","eval_loss","eval_p_max","eval_p_var","accuracy.max","accuracy_mm","avg_eval_p_max","avg_eval_p_var","avg_grad_diff_all_classes","avg_grad_diff_per_class","avg_train_p0","avg_train_p_max","avg_train_p_var","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","epoch","eval_loss.min","eval_loss_mm","eval_p_max_mm","eval_p_var_mm","f1","matthews_correlation","pearson","spearmanr","test_accuracy","train_loss","train_p_max","train_p_var","train_st1_loss","train_st1_p_max","train_st2_loss","train_st2_p_max","vector_norms","test_accuracy_best_accuracy","test_accuracy_best_eval_loss"
"18_SWP7_ID_269_VAN","172","-","SWP7, vanilla","finished","ucs0qxig","ricu","","","2023-12-27T11:31:50.000Z","2023-12-27T11:34:42.000Z","2023-12-27T11:34:42.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1015","3","0.9","0.999","","2","0","25","4","1","false","0.000008","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_269","false","128","32","false","all","18_sweeps","","cola","","64","","false","0.1","0.01","true","","0.8471494913101196","0.7435097694396973","0.15411405265331268","","","","","","","","","","","","","0.6162578463554382","35","72","","","","0.040822829761601634","73","148","","","","","","","123","","","","","","0.00919159254324504","","","","","","","","","0.1586184203624725","0.8625166416168213","","",""
"18_SWP7_ID_268_VAN","207","-","SWP7, vanilla","finished","z565syrx","ricu","","","2023-12-27T11:28:10.000Z","2023-12-27T11:31:37.000Z","2023-12-27T11:31:37.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1015","2","0.9","0.999","","2","0","25","4","1","false","0.000008","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_268","false","128","32","false","all","18_sweeps","","cola","","64","","false","0.1","0.01","true","","0.8868381381034851","0.8739758729934692","0.31219395995140076","","","","","","","","","","","","","0.6309565901756287","49","100","","","","0.10438582382052886","101","204","","","","","","","151","","","","","","0.09116749937971612","","","","","","","","","0.054671719670295715","0.948670506477356","","",""
"18_SWP7_ID_267_VAN","248","-","SWP7, vanilla","finished","dpubfftz","ricu","","","2023-12-27T11:23:47.000Z","2023-12-27T11:27:55.000Z","2023-12-27T11:27:55.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1015","1","0.9","0.999","","2","0","25","4","1","false","0.000008","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_267","false","128","32","false","all","18_sweeps","","cola","","64","","false","0.1","0.01","true","","0.9405245184898376","0.8901816606521606","0.3291597068309784","","","","","","","","","","","","","0.6308051347732544","27","56","","","","0.04081460482939835","133","268","","","","","","","183","","","","","","0.03330418722215897","","","","","","","","","0.10491383075714111","0.9068773984909058","","",""
"18_SWP7_ID_266_VAN","262","-","SWP7, vanilla","finished","hpcpka9b","ricu","","","2023-12-27T11:19:11.000Z","2023-12-27T11:23:33.000Z","2023-12-27T11:23:33.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1014","3","0.9","0.999","","1","0","25","4","1","false","0.000008","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_266","false","128","32","false","all","18_sweeps","","cola","","64","","false","0.1","0.01","true","","0.9399669766426086","0.8420745730400085","0.2714298665523529","","","","","","","","","","","","","0.6119651794433594","73","148","","","","0.07584038381533185","143","288","","","","","","","193","","","","","","0.07294819590795129","","","","","","","","","0.07847310602664948","0.9282886981964112","","",""
"18_SWP7_ID_265_VAN","209","-","SWP7, vanilla","finished","u3i2qja4","ricu","","","2023-12-27T11:15:29.000Z","2023-12-27T11:18:58.000Z","2023-12-27T11:18:58.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1014","2","0.9","0.999","","1","0","25","4","1","false","0.000008","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_265","false","128","32","false","all","18_sweeps","","cola","","64","","false","0.1","0.01","true","","0.8295349478721619","0.8951703906059265","0.3386136591434479","","","","","","","","","","","","","0.6057021021842957","63","128","","","","0.204631452982624","103","208","","","","","","","153","","","","","","0.19534550090213332","","","","","","","","","0.08439725637435913","0.9460685849189758","","",""
"18_SWP7_ID_264_VAN","263","-","SWP7, vanilla","finished","eunsaiit","ricu","","","2023-12-27T11:10:52.000Z","2023-12-27T11:15:15.000Z","2023-12-27T11:15:15.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1014","1","0.9","0.999","","1","0","25","4","1","false","0.000008","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_264","false","128","32","false","all","18_sweeps","","cola","","64","","false","0.1","0.01","true","","0.975863754749298","0.9394325613975524","0.4000980854034424","","","","","","","","","","","","","0.6225113272666931","43","88","","","","0.10112872398597864","145","292","","","","","","","195","","","","","","0.07911482103088151","","","","","","","","","0.0797169879078865","0.9279011487960817","","",""
"18_SWP7_ID_263_VAN","159","-","SWP7, vanilla","finished","p4n1oqjl","ricu","","","2023-12-27T11:07:58.000Z","2023-12-27T11:10:37.000Z","2023-12-27T11:10:37.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1013","3","0.9","0.999","","2","0","25","4","1","false","0.00001","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_263","false","128","32","false","all","18_sweeps","","cola","","64","","false","0.1","0.01","true","","1.015386939048767","0.8128888010978699","0.23451025784015656","","","","","","","","","","","","","0.6153530478477478","35","72","","","","0.03282152747228852","63","128","","","","","","","113","","","","","","0.004940663005288981","","","","","","","","","0.08149010688066483","0.9241856336593628","","",""
"18_SWP7_ID_262_VAN","145","-","SWP7, vanilla","finished","5wdsi4q4","ricu","","","2023-12-27T11:05:19.000Z","2023-12-27T11:07:44.000Z","2023-12-27T11:07:44.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1013","2","0.9","0.999","","2","0","25","4","1","false","0.00001","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_262","false","128","32","false","all","18_sweeps","","cola","","64","","false","0.1","0.01","true","","0.8833224177360535","0.8398415446281433","0.2695440351963043","","","","","","","","","","","","","0.633276104927063","35","72","","","","0.09595396234873407","53","108","","","","","","","103","","","","","","0.06299591427164451","","","","","","","","","0.08595473319292068","0.9391162395477296","","",""
"18_SWP7_ID_261_VAN","248","-","SWP7, vanilla","finished","nvs5tehs","ricu","","","2023-12-27T11:00:58.000Z","2023-12-27T11:05:06.000Z","2023-12-27T11:05:06.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1013","1","0.9","0.999","","2","0","25","4","1","false","0.00001","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_261","false","128","32","false","all","18_sweeps","","cola","","64","","false","0.1","0.01","true","","1.1059818267822266","0.9287137389183044","0.38701388239860535","","","","","","","","","","","","","0.6282787919044495","25","52","","","","0.02807950490894876","131","264","","","","","","","181","","","","","","0.027292590975123227","","","","","","","","","0.05815794691443443","0.958078682422638","","",""
"18_SWP7_ID_260_VAN","193","-","SWP7, vanilla","finished","d4lptoru","ricu","","","2023-12-27T10:57:32.000Z","2023-12-27T11:00:45.000Z","2023-12-27T11:00:45.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1012","3","0.9","0.999","","1","0","25","4","1","false","0.00001","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_260","false","128","32","false","all","18_sweeps","","cola","","64","","false","0.1","0.01","true","","1.056993842124939","0.8776451349258423","0.3196639120578766","","","","","","","","","","","","","0.6126852631568909","59","120","","","","0.08172330948859918","91","184","","","","","","","141","","","","","","0.06211268696445881","","","","","","","","","0.04264017194509506","0.9595082998275756","","",""
