"Name","Runtime","Notes","State","Tags","ID","User","Group","Job Type","Created","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","early_stopping_patience","evaluation_steps","learning_rate","max_train_steps","num_train_epochs","num_warmup_steps","output_dir","param_config_id","run_generation","seed","beta1","beta2","catch_dropout","dataset_seed","early_stopping_min_delta","gradient_accumulation_steps","ignore_mismatched_sizes","insert_dropout","lr_scheduler_type","max_length","model_name_or_path","original_gradient_fraction","pad_to_max_length","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","task","task_name","train_data_frac","training_size","use_modded","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","accuracy","avg_grad_diff_all_classes","avg_grad_diff_per_class","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","epoch","eval_loss","eval_p_max","eval_p_var","train_st1_loss","train_st1_p_max","train_st2_loss","train_st2_p_max","accuracy.max","accuracy_mm","avg_eval_p_max","avg_eval_p_var","avg_train_p0","avg_train_p_max","avg_train_p_var","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","eval_loss.min","eval_loss_mm","eval_p_max_mm","eval_p_var_mm","f1","matthews_correlation","pearson","spearmanr","train_loss","train_p_max","train_p_var"
"18_SWP5_ID_134_VAN","782","-","finished","SWP5, vanilla","u3272tl6","ricu","","","2024-01-03T12:31:58.000Z","2024-01-03T12:45:00.000Z","2024-01-03T12:45:00.000Z","","drax","","","","2","NVIDIA A40","25","4","0.000008","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_05_vanilla/run_134","pcid_0835","18_sweeps","3","0.9","0.999","","2","0","1","false","0.32","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","64","","false","0.1","0.01","true","0.576423210690097","","","0.5885044847153579","89","180","0.7038758397102356","49","100","139","1.2262808084487915","0.88814377784729","0.3362504541873932","","","0.013904985040426254","0.9862378239631652","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP5_ID_133_VAN","1652","-","finished","SWP5, vanilla","hbm8kny9","ricu","","","2024-01-03T12:04:05.000Z","2024-01-03T12:31:37.000Z","2024-01-03T12:31:37.000Z","","drax","","","","2","NVIDIA A40","25","4","0.000008","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_05_vanilla/run_133","pcid_0835","18_sweeps","2","0.9","0.999","","2","0","1","false","0.32","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","64","","false","0.1","0.01","true","0.6922936115687351","","","0.6957715540911587","245","492","0.6299750804901123","43","88","295","1.0201927423477173","0.9375194907188416","0.40181124210357666","","","0.006920375861227512","0.9931130409240724","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP5_ID_132_VAN","1086","-","finished","SWP5, vanilla","hosc0890","ricu","","","2024-01-03T11:45:37.000Z","2024-01-03T12:03:43.000Z","2024-01-03T12:03:43.000Z","","drax","","","","2","NVIDIA A40","25","4","0.000008","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_05_vanilla/run_132","pcid_0835","18_sweeps","1","0.9","0.999","","2","0","1","false","0.32","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","64","","false","0.1","0.01","true","0.6829580816401245","","","0.6857038257367747","139","280","0.6203905344009399","41","84","189","1.1511017084121704","0.9552302360534668","0.4277568757534027","","","0.014744792133569716","0.985446572303772","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP5_ID_131_VAN","726","-","finished","SWP5, vanilla","tfngl3qm","ricu","","","2024-01-03T11:33:10.000Z","2024-01-03T11:45:16.000Z","2024-01-03T11:45:16.000Z","","drax","","","","2","NVIDIA A40","25","4","0.00001","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_05_vanilla/run_131","pcid_0834","18_sweeps","3","0.9","0.999","","2","0","1","false","0.32","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","64","","false","0.1","0.01","true","0.5740435658063335","","","0.5936298736957716","77","156","0.6982216238975525","47","96","127","1.3365147113800049","0.9031254649162292","0.35783547163009644","","","0.00953873060643673","0.9905332326889038","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP5_ID_130_VAN","1704","-","finished","SWP5, vanilla","c0dvm3jw","ricu","","","2024-01-03T11:04:25.000Z","2024-01-03T11:32:49.000Z","2024-01-03T11:32:49.000Z","","drax","","","","2","NVIDIA A40","25","4","0.00001","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_05_vanilla/run_130","pcid_0834","18_sweeps","2","0.9","0.999","","2","0","1","false","0.32","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","64","","false","0.1","0.01","true","0.6906461651107451","","","0.6913783635365184","257","516","0.629909098148346","39","80","307","1.1142674684524536","0.9468414783477784","0.41700243949890137","","","0.004960101097822189","0.9950555562973022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP5_ID_129_VAN","597","-","finished","SWP5, vanilla","1lxpd5r6","ricu","","","2024-01-03T10:54:09.000Z","2024-01-03T11:04:06.000Z","2024-01-03T11:04:06.000Z","","drax","","","","2","NVIDIA A40","25","4","0.00001","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_05_vanilla/run_129","pcid_0834","18_sweeps","1","0.9","0.999","","2","0","1","false","0.32","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","64","","false","0.1","0.01","true","0.6743547501372872","","","0.6871682225883214","55","112","0.6227509379386902","37","76","105","1.0315749645233154","0.9426984786987304","0.4038758873939514","","","0.027177033945918083","0.9732983708381652","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP5_ID_128_VAN","566","-","finished","SWP5, vanilla","9s5bsrqc","ricu","","","2024-01-03T10:44:21.000Z","2024-01-03T10:53:47.000Z","2024-01-03T10:53:47.000Z","","drax","","","","2","NVIDIA A40","25","4","0.00002","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_05_vanilla/run_128","pcid_0833","18_sweeps","3","0.9","0.999","","2","0","1","false","0.32","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","64","","false","0.1","0.01","true","0.5919824272377814","","","0.6088229910305692","49","100","0.6961272954940796","37","76","99","1.5492656230926514","0.9242426753044128","0.3893675208091736","","","0.0035527218133211136","0.996455192565918","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP5_ID_127_VAN","616","-","finished","SWP5, vanilla","npkclam2","ricu","","","2024-01-03T10:33:44.000Z","2024-01-03T10:44:00.000Z","2024-01-03T10:44:00.000Z","","drax","","","","2","NVIDIA A40","25","4","0.00002","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_05_vanilla/run_127","pcid_0833","18_sweeps","2","0.9","0.999","","2","0","1","false","0.32","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","64","","false","0.1","0.01","true","0.6880834706205382","","","0.6906461651107451","59","120","0.6418834328651428","27","56","109","1.132711410522461","0.9472697973251344","0.4176221489906311","","","0.008241802453994751","0.9919102787971495","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP5_ID_126_VAN","497","-","finished","SWP5, vanilla","e1ylmuwc","ricu","","","2024-01-03T10:25:06.000Z","2024-01-03T10:33:23.000Z","2024-01-03T10:33:23.000Z","","drax","","","","2","NVIDIA A40","25","4","0.00002","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_05_vanilla/run_126","pcid_0833","18_sweeps","1","0.9","0.999","","2","0","1","false","0.32","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","64","","false","0.1","0.01","true","0.6701446091890902","","","0.6868021233754348","37","76","0.624032199382782","27","56","87","1.2547296285629272","0.9594280123710632","0.4340168237686157","","","0.014867878518998625","0.9859308004379272","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP5_ID_125_VAN","460","-","finished","SWP5, vanilla","5qqsc292","ricu","","","2024-01-03T10:17:04.000Z","2024-01-03T10:24:44.000Z","2024-01-03T10:24:44.000Z","","drax","","","","2","NVIDIA A40","25","4","0.00004","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_05_vanilla/run_125","pcid_0832","18_sweeps","3","0.9","0.999","","2","0","1","false","0.32","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","64","","false","0.1","0.01","true","0.6172432729269632","","","0.628775398132894","29","60","0.6783647537231445","27","56","79","1.6717987060546875","0.9394161105155944","0.4110020399093628","","","0.0017625518376007676","0.998239517211914","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
