"Name","Runtime","Notes","Tags","State","ID","User","Group","Job Type","Created","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","insert_dropout","param_config_id","seed","beta1","beta2","catch_dropout","dataset_seed","early_stopping_min_delta","early_stopping_patience","evaluation_steps","gradient_accumulation_steps","ignore_mismatched_sizes","learning_rate","lr_scheduler_type","max_length","max_train_steps","model_name_or_path","no_checkpointing","num_train_epochs","num_warmup_steps","original_gradient_fraction","output_dir","pad_to_max_length","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","run_generation","task","task_name","train_data_frac","training_size","use_modded","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","accuracy","eval_loss","eval_p_max","eval_p_var","accuracy.max","accuracy_mm","avg_eval_p_max","avg_eval_p_var","avg_grad_diff_all_classes","avg_grad_diff_per_class","avg_train_p0","avg_train_p_max","avg_train_p_var","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","epoch","eval_loss.min","eval_loss_mm","eval_p_max_mm","eval_p_var_mm","f1","matthews_correlation","pearson","spearmanr","test_accuracy","train_loss","train_p_max","train_p_var","train_st1_loss","train_st1_p_max","train_st2_loss","train_st2_p_max","vector_norms"
"16_S0_ID_125_MOD","235","-","NEW_GRAD_OUTPUT, SWP0, modded","finished","mse010bv","ricu","","","2024-01-04T11:30:49.000Z","2024-01-04T11:34:44.000Z","2024-01-04T11:34:44.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1322","3","0.9","0.999","0","1","0","10","16","1","false","0.00004","linear","128","800","bert-base-uncased","","100","80","0","/home/lange/fantastic-umbrella/runs/16_sweeps_00_modded/run_125","false","128","32","false","all","16_sweeps","","qnli","","256","","false","0.1","0.01","true","0.6454329123192385","1.7623573541641235","0.9708982706069946","0.4553489089012146","","","","","0.03698084503412247","[0.03698084503412247,0.03698084130883217]","","","","0.6983342485813655","13","112","0.6562667489051819","9","80","","","","","","","","","","","","","33","","","","","","","","","","","","","0.005802195053547621","0.9947080016136168","0.13796761631965637","0.990059733390808","{""_type"":""histogram"",""bins"":[0.000003272775529694627,0.044146399945020676,0.0882895290851593,0.13243265450000763,0.17657577991485596,0.22071890532970428,0.2648620307445526,0.30900517106056213,0.35314828157424927,0.3972914218902588,0.4414345324039459,0.48557767271995544,0.5297207832336426,0.5738639235496521,0.6180070638656616,0.6621502041816711,0.7062932848930359,0.7504364252090454,0.7945795655250549,0.8387227058410645,0.882865846157074,0.9270089268684387,0.9711520671844482,1.015295147895813,1.0594383478164673,1.103581428527832,1.1477246284484863,1.191867709159851,1.2360107898712158,1.2801539897918701,1.3242970705032349,1.3684402704238892,1.412583351135254],""values"":[460,21,5,1,3,0,0,1,3,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,10]}"
"16_S0_ID_124_MOD","249","-","NEW_GRAD_OUTPUT, SWP0, modded","finished","8yw5dufc","ricu","","","2024-01-04T11:26:19.000Z","2024-01-04T11:30:28.000Z","2024-01-04T11:30:28.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1322","2","0.9","0.999","0","1","0","10","16","1","false","0.00004","linear","128","800","bert-base-uncased","","100","80","0","/home/lange/fantastic-umbrella/runs/16_sweeps_00_modded/run_124","false","128","32","false","all","16_sweeps","","qnli","","256","","false","0.1","0.01","true","0.7294526816767344","1.295417547225952","0.9757763147354126","0.46273112297058105","","","","","0.025196459144353867","[0.025196462869644165,0.025196459144353867]","","","","0.7466593446824089","15","128","0.5924636721611023","7","64","","","","","","","","","","","","","35","","","","","","","","","","","","","0.001970854355022311","0.9980318546295166","0.06480205059051514","0.987624168395996","{""_type"":""histogram"",""bins"":[4.910119741907693e-7,0.04392002895474434,0.08783956617116928,0.13175910711288452,0.17567864060401917,0.2195981740951538,0.26351770758628845,0.3074372410774231,0.35135677456855774,0.3952763080596924,0.4391958713531494,0.48311540484428406,0.5270349383354187,0.570954442024231,0.614874005317688,0.658793568611145,0.7027130722999573,0.7466326355934143,0.7905521392822266,0.8344717025756836,0.8783912062644958,0.9223107695579529,0.9662302732467651,1.0101498365402222,1.0540693998336792,1.0979889631271362,1.1419084072113037,1.1858279705047607,1.2297475337982178,1.2736670970916748,1.3175865411758423,1.3615061044692993,1.4054256677627563],""values"":[477,8,4,4,2,1,1,2,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,2,0,1,3]}"
"16_S0_ID_123_MOD","251","-","NEW_GRAD_OUTPUT, SWP0, modded","finished","1bh5fsr1","ricu","","","2024-01-04T11:21:46.000Z","2024-01-04T11:25:57.000Z","2024-01-04T11:25:57.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1322","1","0.9","0.999","0","1","0","10","16","1","false","0.00004","linear","128","800","bert-base-uncased","","100","80","0","/home/lange/fantastic-umbrella/runs/16_sweeps_00_modded/run_123","false","128","32","false","all","16_sweeps","","qnli","","256","","false","0.1","0.01","true","0.7166392092257001","1.5097711086273191","0.985810399055481","0.4776524901390076","","","","","0.031244372949004173","[0.031244374811649323,0.031244371086359024]","","","","0.7349441698700347","15","128","0.5952038168907166","7","64","","","","","","","","","","","","","35","","","","","","","","","","","","","0.001670879777520895","0.9983311891555786","0.08891689032316208","0.9892675876617432","{""_type"":""histogram"",""bins"":[0.0000023806844637874747,0.043931994587183,0.08786161243915558,0.13179121911525726,0.17572084069252014,0.21965044736862183,0.2635800540447235,0.3075096905231476,0.35143929719924927,0.39536890387535095,0.43929851055145264,0.4832281470298767,0.527157723903656,0.5710873603820801,0.6150169968605042,0.6589465737342834,0.7028762102127075,0.7468058466911316,0.7907354235649109,0.834665060043335,0.8785946369171143,0.9225242733955383,0.9664539098739624,1.0103834867477417,1.054313063621521,1.0982427597045898,1.1421723365783691,1.1861019134521484,1.2300316095352173,1.2739611864089966,1.3178907632827759,1.3618204593658447,1.405750036239624],""values"":[483,6,2,2,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,3,1,3,4]}"
"16_S0_ID_110_MOD","234","-","NEW_GRAD_OUTPUT, SWP0, modded","finished","ifpurrah","ricu","","","2024-01-04T11:17:31.000Z","2024-01-04T11:21:25.000Z","2024-01-04T11:21:25.000Z","","drax","","","","2","NVIDIA A40","0.28","pcid_1321","3","0.9","0.999","0","1","0","10","16","1","false","0.00004","linear","128","800","bert-base-uncased","","100","80","0","/home/lange/fantastic-umbrella/runs/16_sweeps_00_modded/run_110","false","128","32","false","all","16_sweeps","","qnli","","256","","false","0.1","0.01","true","0.7122460186710599","1.417646050453186","0.9734557271003724","0.458073765039444","","","","","0.0027576005086302757","[0.0027576007414609194,0.0027576000429689884]","","","","0.7179205564708036","13","112","0.631317138671875","9","80","","","","","","","","","","","","","33","","","","","","","","","","","","","0.0020065982826054096","0.99799907207489","0.003993242047727108","0.9960383772850036","{""bins"":[0.00000419475645685452,0.0034408459905534983,0.006877497304230928,0.010314148850739002,0.013750799931585789,0.01718745194375515,0.020624103024601936,0.024060754105448723,0.02749740518629551,0.030934056267142296,0.03437070921063423,0.03780736029148102,0.041244011372327805,0.04468066245317459,0.04811731353402138,0.051553964614868164,0.05499061569571495,0.05842726677656174,0.061863917857408524,0.06530056893825531,0.0687372237443924,0.07217387109994888,0.07561052590608597,0.07904717326164246,0.08248382806777954,0.08592047542333603,0.08935713022947311,0.0927937775850296,0.09623043239116669,0.09966707974672318,0.10310373455286026,0.10654038190841675,0.10997703671455383],""values"":[381,77,27,5,4,3,3,1,0,1,3,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1],""_type"":""histogram""}"
"16_S0_ID_063_MOD","279","-","NEW_GRAD_OUTPUT, SWP0, modded","finished","5nyo9fux","ricu","","","2024-01-04T11:12:47.000Z","2024-01-04T11:17:26.000Z","2024-01-04T11:17:26.000Z","","drax","","","","2","NVIDIA A40","0.16","pcid_1318","1","0.9","0.999","0","1","0","10","16","1","false","0.00004","linear","128","800","bert-base-uncased","","100","80","0","/home/lange/fantastic-umbrella/runs/16_sweeps_00_modded/run_063","false","128","32","false","all","16_sweeps","","qnli","","256","","false","0.1","0.01","true","0.7461101958630789","1.3370400667190552","0.982120931148529","0.4726402759552002","","","","","0.0024565942585468292","[0.00245659495703876,0.0024565935600548983]","","","","0.7468423942888522","11","96","0.5759236812591553","5","48","","","","","","","","","","","","","31","","","","","","","","","","","","","0.001165333087556064","0.9988353252410888","0.00634955707937479","0.9980137348175048","{""_type"":""histogram"",""bins"":[0.000002666504315129714,0.039846692234277725,0.07969072461128235,0.11953474581241608,0.159378781914711,0.19922280311584473,0.23906682431697845,0.2789108455181122,0.3187548816204071,0.358598917722702,0.39844295382499695,0.4382869601249695,0.4781309962272644,0.5179750323295593,0.5578190684318542,0.5976631045341492,0.6375070810317993,0.6773511171340942,0.7171951532363892,0.7570391893386841,0.796883225440979,0.8367272615432739,0.8765712380409241,0.916415274143219,0.9562593102455139,0.9961033463478088,1.035947322845459,1.075791358947754,1.1156353950500488,1.1554794311523438,1.1953234672546387,1.2351675033569336,1.2750115394592285],""values"":[511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]}"
"16_S0_ID_050_MOD","279","-","NEW_GRAD_OUTPUT, SWP0, modded","finished","sbfmw28a","ricu","","","2024-01-04T11:07:47.000Z","2024-01-04T11:12:26.000Z","2024-01-04T11:12:26.000Z","","drax","","","","2","NVIDIA A40","0.12","pcid_1317","3","0.9","0.999","0","1","0","10","16","1","false","0.00004","linear","128","800","bert-base-uncased","","100","80","0","/home/lange/fantastic-umbrella/runs/16_sweeps_00_modded/run_050","false","128","32","false","all","16_sweeps","","qnli","","256","","false","0.1","0.01","true","0.7138934651290499","1.6175888776779177","0.9792957901954652","0.46907007694244385","","","","","0.000464749988168478","[0.00046474923146888614,0.000464750686660409]","","","","0.7184697052901337","11","96","0.6002562046051025","7","64","","","","","","","","","","","","","31","","","","","","","","","","","","","0.0006281684618443251","0.9993720054626464","0.0010929302079603076","0.9989086985588074","{""_type"":""histogram"",""bins"":[0.0000037405386592581635,0.0013392124092206359,0.0026746841613203287,0.004010156262665987,0.005345628131181002,0.006681099999696016,0.008016571402549744,0.009352043271064758,0.010687515139579773,0.012022987008094788,0.013358458876609802,0.014693930745124817,0.01602940261363983,0.017364874482154846,0.01870034635066986,0.020035818219184875,0.02137129008769989,0.022706761956214905,0.02404223382472992,0.025377705693244934,0.02671317756175995,0.028048649430274963,0.029384121298789978,0.030719593167304993,0.03205506503582001,0.03339053690433502,0.03472600877285004,0.03606148064136505,0.037396952509880066,0.03873242437839508,0.040067896246910095,0.04140336811542511,0.042738839983940125],""values"":[477,30,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]}"
"16_S0_ID_109_MOD","680","-","NEW_GRAD_OUTPUT, SWP0, modded","finished","isg9hd53","ricu","","","2024-01-04T11:05:49.000Z","2024-01-04T11:17:09.000Z","2024-01-04T11:17:09.000Z","","drax","","","","2","NVIDIA A40","0.28","pcid_1321","2","0.9","0.999","0","1","0","10","16","1","false","0.00004","linear","128","800","bert-base-uncased","","100","80","0","/home/lange/fantastic-umbrella/runs/16_sweeps_00_modded/run_109","false","128","32","false","all","16_sweeps","","qnli","","256","","false","0.1","0.01","true","0.7539813289401428","1.3468464612960815","0.981176495552063","0.47098422050476074","","","","","0.012795351445674896","[0.012795349583029749,0.01279535237699747]","","","","0.7545304777594728","83","672","0.5989564657211304","5","48","","","","","","","","","","","","","99","","","","","","","","","","","","","0.0006639815401285887","0.999336302280426","0.03546515852212906","0.9956250190734864","{""_type"":""histogram"",""bins"":[9.111523127103283e-7,0.043776027858257294,0.08755114674568176,0.13132625818252563,0.1751013845205307,0.21887649595737457,0.26265162229537964,0.3064267337322235,0.3502018451690674,0.39397695660591125,0.4377520680427551,0.481527179479599,0.5253022909164429,0.5690774321556091,0.6128525137901306,0.6566276550292969,0.7004027962684631,0.7441778779029846,0.7879530191421509,0.8317281007766724,0.8755032420158386,0.9192783832550049,0.9630534648895264,1.0068285465240479,1.0506037473678589,1.0943788290023804,1.1381539106369019,1.181929111480713,1.2257041931152344,1.2694792747497559,1.3132543563842773,1.3570295572280884,1.4008046388626099],""values"":[502,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2]}"
"16_S0_ID_108_MOD","201","-","NEW_GRAD_OUTPUT, SWP0, modded","finished","do64guve","ricu","","","2024-01-04T11:02:06.000Z","2024-01-04T11:05:27.000Z","2024-01-04T11:05:27.000Z","","drax","","","","2","NVIDIA A40","0.28","pcid_1321","1","0.9","0.999","0","1","0","10","16","1","false","0.00004","linear","128","800","bert-base-uncased","","100","80","0","/home/lange/fantastic-umbrella/runs/16_sweeps_00_modded/run_108","false","128","32","false","all","16_sweeps","","qnli","","256","","false","0.1","0.01","true","0.7320153761669412","1.2517869472503662","0.9783361554145812","0.4659297466278076","","","","","0.024065902456641197","[0.024065904319286343,0.024065904319286343]","","","","0.7353102690829215","7","64","0.5742968916893005","7","64","","","","","","","","","","","","","27","","","","","","","","","","","","","0.003222082043066621","0.996783435344696","0.07655756175518036","0.9896289706230164","{""_type"":""histogram"",""bins"":[0.000005341544238035567,0.04379269480705261,0.08758004754781723,0.13136740028858185,0.17515476047992706,0.21894210577011108,0.2627294659614563,0.3065168261528015,0.35030415654182434,0.39409151673316956,0.43787887692451477,0.48166623711586,0.5254535675048828,0.569240927696228,0.6130282878875732,0.6568156480789185,0.7006030082702637,0.7443903684616089,0.7881777286529541,0.8319650292396545,0.8757523894309998,0.919539749622345,0.9633271098136902,1.0071145296096802,1.0509017705917358,1.094689130783081,1.1384764909744263,1.1822638511657715,1.2260512113571167,1.269838571548462,1.3136259317398071,1.3574132919311523,1.4012006521224976],""values"":[484,9,2,1,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,6]}"
"16_S0_ID_049_MOD","665","-","NEW_GRAD_OUTPUT, SWP0, modded","finished","c8zgm5gn","ricu","","","2024-01-04T10:56:21.000Z","2024-01-04T11:07:26.000Z","2024-01-04T11:07:26.000Z","","drax","","","","2","NVIDIA A40","0.12","pcid_1317","2","0.9","0.999","0","1","0","10","16","1","false","0.00004","linear","128","800","bert-base-uncased","","100","80","0","/home/lange/fantastic-umbrella/runs/16_sweeps_00_modded/run_049","false","128","32","false","all","16_sweeps","","qnli","","256","","false","0.1","0.01","true","0.751418634449936","1.480940580368042","0.9817904829978944","0.4731428921222687","","","","","0.0002606148482300341","[0.00026061333483085036,0.00026061636162921786]","","","","0.7517847336628226","57","464","0.5823816657066345","5","48","","","","","","","","","","","","","77","","","","","","","","","","","","","0.0004605325229931623","0.9995396137237548","0.0007031739805825055","0.9992972016334534","{""_type"":""histogram"",""bins"":[3.2000508554119733e-7,0.00021425703016575426,0.00042819406371563673,0.000642131082713604,0.0008560681017115712,0.0010700051207095385,0.0012839421397075057,0.0014978792751207948,0.001711816294118762,0.0019257533131167293,0.0021396903321146965,0.002353627234697342,0.002567564370110631,0.00278150150552392,0.0029954384081065655,0.0032093755435198545,0.0034233124461025,0.003637249581515789,0.0038511864840984344,0.00406512338668108,0.004279060754925013,0.004492997657507658,0.004706934560090303,0.004920871928334236,0.0051348088309168816,0.005348745733499527,0.005562682636082172,0.005776620004326105,0.0059905569069087505,0.006204493809491396,0.006418430712074041,0.006632368080317974,0.0068463049829006195],""values"":[228,157,63,24,14,9,4,2,3,1,1,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1]}"
"16_S0_ID_095_MOD","375","-","NEW_GRAD_OUTPUT, SWP0, modded","finished","6u41n86f","ricu","","","2024-01-04T10:55:30.000Z","2024-01-04T11:01:45.000Z","2024-01-04T11:01:45.000Z","","drax","","","","2","NVIDIA A40","0.24","pcid_1320","3","0.9","0.999","0","1","0","10","16","1","false","0.00004","linear","128","800","bert-base-uncased","","100","80","0","/home/lange/fantastic-umbrella/runs/16_sweeps_00_modded/run_095","false","128","32","false","all","16_sweeps","","qnli","","256","","false","0.1","0.01","true","0.7252425407285374","1.5531452894210815","0.9786006808280944","0.46793892979621887","","","","","0.0025779902935028076","[0.002577992621809244,0.002577987965196371]","","","","0.7278052352187443","33","272","0.6133130788803101","9","80","","","","","","","","","","","","","53","","","","","","","","","","","","","0.0008103958680294454","0.9991900324821472","0.003723118221387267","0.996672511100769","{""values"":[504,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.000004529278612608323,0.021375276148319244,0.04274602234363556,0.06411676853895187,0.08548751473426819,0.1068582609295845,0.12822900712490082,0.14959974586963654,0.17097049951553345,0.19234123826026917,0.21371199190616608,0.2350827306509018,0.2564534842967987,0.2778242230415344,0.29919496178627014,0.32056573033332825,0.34193646907806396,0.3633072078227997,0.3846779465675354,0.4060487151145935,0.4274194538593292,0.44879019260406494,0.47016093134880066,0.49153169989585876,0.5129024386405945,0.5342732071876526,0.5556439161300659,0.577014684677124,0.5983853936195374,0.6197561621665955,0.6411269307136536,0.6624976396560669,0.683868408203125]}"
