"Name","Runtime","Notes","State","Tags","ID","User","Group","Job Type","Created","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","early_stopping_patience","evaluation_steps","learning_rate","max_train_steps","num_train_epochs","num_warmup_steps","output_dir","param_config_id","run_generation","seed","beta1","beta2","catch_dropout","dataset_seed","early_stopping_min_delta","gradient_accumulation_steps","ignore_mismatched_sizes","insert_dropout","lr_scheduler_type","max_length","model_name_or_path","original_gradient_fraction","pad_to_max_length","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","task","task_name","train_data_frac","training_size","use_modded","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","accuracy","avg_grad_diff_all_classes","avg_grad_diff_per_class","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","epoch","eval_loss","eval_p_max","eval_p_var","train_st1_loss","train_st1_p_max","train_st2_loss","train_st2_p_max","accuracy.max","accuracy_mm","avg_eval_p_max","avg_eval_p_var","avg_train_p0","avg_train_p_max","avg_train_p_var","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","eval_loss.min","eval_loss_mm","eval_p_max_mm","eval_p_var_mm","f1","matthews_correlation","pearson","spearmanr","train_loss","train_p_max","train_p_var"
"16_S1_ID_064_VAN","100","-","running","NEW_GRAD_OUTPUT, SWP1, vanilla","b6f0l5w1","ricu","","","2024-01-03T13:22:17.000Z","2024-01-03T13:23:57.000Z","2024-01-03T13:23:57.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00004","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_064","pcid_1309","16_sweeps","2","0.9","0.999","","1","0","1","false","0.16","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7402526084568918","","","0.7402526084568918","9","80","0.6183038949966431","5","48","9","0.6768079996109009","0.904919445514679","0.34897381067276","","","0.18014498054981232","0.9009826183319092","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_063_VAN","376","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","nei1mb9c","ricu","","","2024-01-03T13:15:41.000Z","2024-01-03T13:21:57.000Z","2024-01-03T13:21:57.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00004","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_063","pcid_1309","16_sweeps","1","0.9","0.999","","1","0","1","false","0.16","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7468423942888522","","","0.7494050887790591","25","208","0.5857964754104614","5","48","45","1.4007363319396973","0.9820794463157654","0.47291821241378784","","","0.0011630761437118051","0.99883770942688","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_062_VAN","312","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","9khzizoy","ricu","","","2024-01-03T13:10:08.000Z","2024-01-03T13:15:20.000Z","2024-01-03T13:15:20.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00006","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_062","pcid_1280","16_sweeps","3","0.9","0.999","","1","0","1","false","0.16","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7025443895295626","","","0.7290865824638477","17","144","0.6000989675521851","7","64","37","1.636396050453186","0.9667333364486694","0.45220187306404114","","","0.000735865905880928","0.9992645978927612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_061_VAN","330","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","j07e1jma","ricu","","","2024-01-03T13:04:18.000Z","2024-01-03T13:09:48.000Z","2024-01-03T13:09:48.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00006","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_061","pcid_1280","16_sweeps","2","0.9","0.999","","1","0","1","false","0.16","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7559948746110196","","","0.7576423210690097","19","160","0.6174063682556152","3","32","39","1.3393758535385132","0.9800131916999816","0.4695274829864502","","","0.0007295053219422698","0.9992709159851074","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_060_VAN","377","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","j4cri226","ricu","","","2024-01-03T12:57:41.000Z","2024-01-03T13:03:58.000Z","2024-01-03T13:03:58.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00006","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_060","pcid_1280","16_sweeps","1","0.9","0.999","","1","0","1","false","0.16","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7263408383671975","","","0.7415339557019952","25","208","0.5480382442474365","5","48","45","1.0041754245758057","0.937659740447998","0.40863534808158875","","","0.09776462614536284","0.9867950081825256","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_059_VAN","818","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","xzvane05","ricu","","","2024-01-03T12:43:43.000Z","2024-01-03T12:57:21.000Z","2024-01-03T12:57:21.000Z","","drax","","","","2","NVIDIA A40","10","16","0.000008","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_059","pcid_1279","16_sweeps","3","0.9","0.999","","1","0","1","false","0.12","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7223137470254439","","","0.7235950942705474","85","688","0.6425520181655884","13","112","99","1.1371064186096191","0.9545832872390748","0.4322337210178375","","","0.00638181995600462","0.9936668276786804","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_058_VAN","638","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","nqqn2j7f","ricu","","","2024-01-03T12:32:44.000Z","2024-01-03T12:43:22.000Z","2024-01-03T12:43:22.000Z","","drax","","","","2","NVIDIA A40","10","16","0.000008","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_058","pcid_1279","16_sweeps","2","0.9","0.999","","1","0","1","false","0.12","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.747208493501739","","","0.7492220391726158","55","448","0.5638097524642944","13","112","75","1.011633038520813","0.961162567138672","0.4395940899848938","","","0.005987365730106831","0.9940370917320251","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_057_VAN","509","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","u4a4hujp","ricu","","","2024-01-03T12:23:55.000Z","2024-01-03T12:32:24.000Z","2024-01-03T12:32:24.000Z","","drax","","","","2","NVIDIA A40","10","16","0.000008","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_057","pcid_1279","16_sweeps","1","0.9","0.999","","1","0","1","false","0.12","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7364085667215815","","","0.7420831045213253","39","320","0.5786718130111694","11","96","59","0.9746856689453124","0.9571844339370728","0.43176767230033875","","","0.01125421654433012","0.988836705684662","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_056_VAN","494","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","tj1o7zdb","ricu","","","2024-01-03T12:15:20.000Z","2024-01-03T12:23:34.000Z","2024-01-03T12:23:34.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00001","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_056","pcid_1278","16_sweeps","3","0.9","0.999","","1","0","1","false","0.12","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7195680029287937","","","0.7252425407285374","37","304","0.6436712741851807","13","112","57","1.1254851818084717","0.9532519578933716","0.42987507581710815","","","0.006787392310798168","0.9933226704597472","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_055_VAN","829","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","cle76q3x","ricu","","","2024-01-03T12:01:09.000Z","2024-01-03T12:14:58.000Z","2024-01-03T12:14:58.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00001","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_055","pcid_1278","16_sweeps","2","0.9","0.999","","1","0","1","false","0.12","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7503203368112759","","","0.753066080907926","77","624","0.5725898146629333","11","96","97","1.0981082916259766","0.9674241542816162","0.4503495991230011","","","0.003513938980177045","0.9964948892593384","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_054_VAN","521","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","o6y6tgm3","ricu","","","2024-01-03T11:52:07.000Z","2024-01-03T12:00:48.000Z","2024-01-03T12:00:48.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00001","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_054","pcid_1278","16_sweeps","1","0.9","0.999","","1","0","1","false","0.12","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7376899139666849","","","0.7404356580633351","39","320","0.5772187113761902","11","96","59","1.0596234798431396","0.9659981727600098","0.44604602456092834","","","0.007113998290151358","0.992930233478546","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_053_VAN","533","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","ann5rp3r","ricu","","","2024-01-03T11:42:53.000Z","2024-01-03T11:51:46.000Z","2024-01-03T11:51:46.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00002","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_053","pcid_1277","16_sweeps","3","0.9","0.999","","1","0","1","false","0.12","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7208493501738972","","","0.7261577887607542","41","336","0.6063987612724304","9","80","61","1.5763269662857056","0.9759925007820128","0.4644266664981842","","","0.0012069985968992114","0.9988076686859132","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_052_VAN","629","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","77k53wpa","ricu","","","2024-01-03T11:32:03.000Z","2024-01-03T11:42:32.000Z","2024-01-03T11:42:32.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00002","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_052","pcid_1277","16_sweeps","2","0.9","0.999","","1","0","1","false","0.12","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7523338824821527","","","0.7537982793336995","53","432","0.5678719878196716","9","80","73","1.334952473640442","0.980583906173706","0.4702228605747223","","","0.001321010407991707","0.9986803531646729","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_051_VAN","771","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","gsw6wrxq","ricu","","","2024-01-03T11:18:51.000Z","2024-01-03T11:31:42.000Z","2024-01-03T11:31:42.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00002","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_051","pcid_1277","16_sweeps","1","0.9","0.999","","1","0","1","false","0.12","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7459271462566356","","","0.7464762950759656","71","576","0.5871794819831848","9","80","91","1.296656370162964","0.977792263031006","0.46664202213287354","","","0.00145421561319381","0.9985489249229432","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_050_VAN","502","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","9wdxohne","ricu","","","2024-01-03T11:10:07.000Z","2024-01-03T11:18:29.000Z","2024-01-03T11:18:29.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00004","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_050","pcid_1308","16_sweeps","3","0.9","0.999","","1","0","1","false","0.12","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7316492769540546","","","0.7323814753798279","39","320","0.6135313510894775","7","64","59","1.6534329652786257","0.9784647226333618","0.4677570164203644","","","0.0004890984855592251","0.9995126724243164","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_049_VAN","831","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","forsgm23","ricu","","","2024-01-03T10:55:55.000Z","2024-01-03T11:09:46.000Z","2024-01-03T11:09:46.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00004","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_049","pcid_1308","16_sweeps","2","0.9","0.999","","1","0","1","false","0.12","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7528830313014827","","","0.753066080907926","93","752","0.5802868008613586","7","64","99","1.459412693977356","0.979496419429779","0.4700509011745453","","","0.0004674286174122244","0.9995326995849608","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_048_VAN","274","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","s5ao60lv","ricu","","","2024-01-03T10:50:59.000Z","2024-01-03T10:55:33.000Z","2024-01-03T10:55:33.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00004","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_048","pcid_1308","16_sweeps","1","0.9","0.999","","1","0","1","false","0.12","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.742998352553542","","","0.7431814021599854","11","96","0.5717014074325562","5","48","31","1.2951797246932983","0.9805657267570496","0.46919193863868713","","","0.0019343976164236665","0.998068392276764","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_047_VAN","834","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","rxkda9im","ricu","","","2024-01-03T10:36:43.000Z","2024-01-03T10:50:37.000Z","2024-01-03T10:50:37.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00006","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_047","pcid_1275","16_sweeps","3","0.9","0.999","","1","0","1","false","0.12","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.6979681493684788","","","0.6979681493684788","99","800","0.6564392447471619","5","48","99","1.8308346271514893","0.9700077772140504","0.4562210142612457","","","0.00015112834807951003","0.9998489618301392","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_046_VAN","831","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","uqqesage","ricu","","","2024-01-03T10:22:32.000Z","2024-01-03T10:36:23.000Z","2024-01-03T10:36:23.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00006","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_046","pcid_1275","16_sweeps","2","0.9","0.999","","1","0","1","false","0.12","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7486728903532858","","","0.7488559399597291","79","640","0.6145219206809998","3","32","99","1.644668698310852","0.986150860786438","0.4790283143520355","","","0.0002516777894925326","0.9997484087944032","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_045_VAN","799","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","v9cmbeh4","ricu","","","2024-01-03T10:08:52.000Z","2024-01-03T10:22:11.000Z","2024-01-03T10:22:11.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00006","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_045","pcid_1275","16_sweeps","1","0.9","0.999","","1","0","1","false","0.12","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7461101958630789","","","0.7466593446824089","75","608","0.5504940152168274","5","48","95","1.5848060846328735","0.9850271344184875","0.47762081027030945","","","0.0003387368924450129","0.999661386013031","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_044_VAN","583","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","ajmst21t","ricu","","","2024-01-03T09:58:48.000Z","2024-01-03T10:08:31.000Z","2024-01-03T10:08:31.000Z","","drax","","","","2","NVIDIA A40","10","16","0.000008","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_044","pcid_1274","16_sweeps","3","0.9","0.999","","1","0","1","false","0.1","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.709683324180853","","","0.7285374336445176","49","400","0.6418546438217163","17","144","69","1.247247338294983","0.9594147205352784","0.4381781220436096","","","0.007150259334594011","0.9929179549217224","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_043_VAN","516","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","ns2ywmry","ricu","","","2024-01-03T09:49:52.000Z","2024-01-03T09:58:28.000Z","2024-01-03T09:58:28.000Z","","drax","","","","2","NVIDIA A40","10","16","0.000008","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_043","pcid_1274","16_sweeps","2","0.9","0.999","","1","0","1","false","0.1","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7497711879919459","","","0.7541643785465861","41","336","0.5539261698722839","13","112","61","0.9250627756118774","0.9544102549552916","0.4299103915691376","","","0.007371407933533192","0.9926716685295104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_042_VAN","809","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","5o35rxe0","ricu","","","2024-01-03T09:36:00.000Z","2024-01-03T09:49:29.000Z","2024-01-03T09:49:29.000Z","","drax","","","","2","NVIDIA A40","10","16","0.000008","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_042","pcid_1274","16_sweeps","1","0.9","0.999","","1","0","1","false","0.1","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7323814753798279","","","0.736591616328025","89","720","0.5857957005500793","11","96","99","1.077614188194275","0.966746747493744","0.4470307528972626","","","0.005998685024678707","0.9940233826637268","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
