"Name","Runtime","Notes","Tags","State","ID","User","Group","Job Type","Created","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","insert_dropout","param_config_id","seed","beta1","beta2","catch_dropout","dataset_seed","early_stopping_min_delta","early_stopping_patience","evaluation_steps","gradient_accumulation_steps","ignore_mismatched_sizes","learning_rate","lr_scheduler_type","max_length","max_train_steps","model_name_or_path","no_checkpointing","num_train_epochs","num_warmup_steps","original_gradient_fraction","output_dir","pad_to_max_length","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","run_generation","task","task_name","train_data_frac","training_size","use_modded","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","accuracy","eval_loss","eval_p_max","eval_p_var","accuracy.max","accuracy_mm","avg_eval_p_max","avg_eval_p_var","avg_grad_diff_all_classes","avg_grad_diff_per_class","avg_train_p0","avg_train_p_max","avg_train_p_var","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","epoch","eval_loss.min","eval_loss_mm","eval_p_max_mm","eval_p_var_mm","f1","matthews_correlation","pearson","spearmanr","test_accuracy","train_loss","train_p_max","train_p_var","train_st1_loss","train_st1_p_max","train_st2_loss","train_st2_p_max","vector_norms","test_accuracy_best_accuracy","test_accuracy_best_eval_loss","test_accuracy_best_f1","test_f1_best_accuracy","test_f1_best_eval_loss","test_f1_best_f1"
"20_S0_ID_36_MOD","1503","-","SWP0, modded","finished","zdil9yma","ricu","","","2024-01-05T01:34:54.000Z","2024-01-05T01:59:57.000Z","2024-01-05T01:59:57.000Z","","drax","","","","2","NVIDIA A40","0.2","pcid_1420","2","0.9","0.999","0","1","0","80","16","","false","0.00002","linear","128","6400","bert-base-uncased","false","800","640","","/home/lange/fantastic-umbrella/runs/20_sweeps_00_modded/run_36","false","128","32","","all","20_sweeps","","qnli","","256","","","0.1","0.01","true","0.736328125","1.9658379554748535","0.9882596731185912","0.4829637408256531","","","","","0.0003196496400050819","[0.00031965094967745245,0.0003196483012288809]","","","","0.73828125","161","1296","0.6081171035766602","21","176","","","","","","","","","","","","","321","","","","","","","","","","","","","0.00010511243453947829","0.999894917011261","0.00042650813702493906","0.9995817542076112","{""values"":[508,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[5.103021862851165e-7,0.003882864722982049,0.007765219081193209,0.011647573672235012,0.015529927797615528,0.01941228285431862,0.023294636979699135,0.02717699110507965,0.031059345230460167,0.03494169935584068,0.03882405534386635,0.042706411331892014,0.04658876359462738,0.050471119582653046,0.05435347184538841,0.05823582783341408,0.062118180096149445,0.06600053608417511,0.06988289207220078,0.07376524806022644,0.07764759659767151,0.08152995258569717,0.08541230857372284,0.0892946645617485,0.09317702054977417,0.09705936908721924,0.1009417250752449,0.10482408106327057,0.10870643705129623,0.1125887930393219,0.11647114157676697,0.12035349756479263,0.1242358535528183]}","0.7255859375","0.67041015625","","","",""
"20_S0_ID_37_MOD","995","-","SWP0, modded","finished","jvmjo9cb","ricu","","","2024-01-05T01:30:46.000Z","2024-01-05T01:47:21.000Z","2024-01-05T01:47:21.000Z","","drax","","","","2","NVIDIA A40","0.2","pcid_1420","3","0.9","0.999","0","1","0","80","16","","false","0.00002","linear","128","6400","bert-base-uncased","false","800","640","","/home/lange/fantastic-umbrella/runs/20_sweeps_00_modded/run_37","false","128","32","","all","20_sweeps","","qnli","","256","","","0.1","0.01","true","0.734375","2.089482545852661","0.9929288029670716","0.4897661507129669","","","","","0.0001491168513894081","[0.00014911711332388222,0.00014911657490301877]","","","","0.740234375","85","688","0.571801483631134","29","240","","","","","","","","","","","","","245","","","","","","","","","","","","","0.00011738161265384406","0.9998825788497924","0.0002662523475009948","0.9997338056564332","{""_type"":""histogram"",""bins"":[0.0000051795313993352465,0.00006678332283627242,0.0001283871242776513,0.00018999091116711497,0.00025159469805657864,0.00031319851404987276,0.0003748023009393364,0.0004364060878288001,0.0004980099038220942,0.0005596136907115579,0.0006212174776010215,0.0006828212644904852,0.0007444250513799489,0.0008060288382694125,0.0008676326833665371,0.0009292364702560008,0.0009908402571454644,0.0010524439858272672,0.0011140478309243917,0.0011756516760215163,0.001237255404703319,0.0012988592498004436,0.0013604629784822464,0.001422066823579371,0.0014836705522611737,0.0015452743973582983,0.0016068782424554229,0.0016684819711372256,0.0017300858162343502,0.001791689544916153,0.0018532933900132775,0.0019148971186950803,0.001976500963792205],""values"":[59,108,111,74,73,32,18,17,5,5,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]}","0.7373046875","0.69970703125","","","",""
"20_S0_ID_39_MOD","1615","-","SWP0, modded","finished","vrg1urle","ricu","","","2024-01-05T01:03:27.000Z","2024-01-05T01:30:22.000Z","2024-01-05T01:30:22.000Z","","drax","","","","2","NVIDIA A40","0.2","pcid_1420","5","0.9","0.999","0","1","0","80","16","","false","0.00002","linear","128","6400","bert-base-uncased","false","800","640","","/home/lange/fantastic-umbrella/runs/20_sweeps_00_modded/run_39","false","128","32","","all","20_sweeps","","qnli","","256","","","0.1","0.01","true","0.73876953125","2.177680492401123","0.9904651641845704","0.4860656261444092","","","","","0.0021419513504952192","[0.002141948090866208,0.002141954842954874]","","","","0.740234375","251","2016","0.5898767709732056","23","192","","","","","","","","","","","","","411","","","","","","","","","","","","","0.000052037958084838465","0.9999479651451112","0.00950128585100174","0.9997292160987854","{""_type"":""histogram"",""bins"":[2.464086890086037e-7,0.04380318522453308,0.08760612457990646,0.13140906393527985,0.17521199584007263,0.2190149426460266,0.2628178894519806,0.3066208064556122,0.35042375326156616,0.39422670006752014,0.4380296468734741,0.4818325638771057,0.5256355404853821,0.5694384574890137,0.6132413744926453,0.6570443511009216,0.7008472681045532,0.7446501851081848,0.7884531617164612,0.8322560787200928,0.8760590553283691,0.9198619723320007,0.9636648893356323,1.0074678659439087,1.051270842552185,1.0950736999511719,1.1388766765594482,1.1826796531677246,1.2264825105667114,1.2702854871749878,1.3140884637832642,1.357891321182251,1.4016942977905273],""values"":[510,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]}","0.73876953125","0.693359375","","","",""
"20_S0_ID_35_MOD","2681","-","SWP0, modded","finished","bkir5xqj","ricu","","","2024-01-05T00:49:51.000Z","2024-01-05T01:34:32.000Z","2024-01-05T01:34:32.000Z","","drax","","","","2","NVIDIA A40","0.2","pcid_1420","1","0.9","0.999","0","1","0","80","16","","false","0.00002","linear","128","6400","bert-base-uncased","false","800","640","","/home/lange/fantastic-umbrella/runs/20_sweeps_00_modded/run_35","false","128","32","","all","20_sweeps","","qnli","","256","","","0.1","0.01","true","0.720703125","2.392178535461426","0.994137167930603","0.491225928068161","","","","","0.0000390678396797739","[0.000039069054764695466,0.00003906663550878875]","","","","0.72265625","425","3408","0.6215968132019043","15","128","","","","","","","","","","","","","585","","","","","","","","","","","","","0.00004776031710207462","0.99995219707489","0.00008543872536392882","0.999914526939392","{""bins"":[1.8312154281829862e-7,0.000018329028534935787,0.000036474935768637806,0.000054620843002339825,0.00007276675023604184,0.00009091266110772267,0.00010905856470344588,0.0001272044755751267,0.00014535037917084992,0.00016349628276657313,0.00018164220091421157,0.00019978810450993478,0.000217934008105658,0.0002360799117013812,0.00025422582984901965,0.00027237171889282763,0.00029051763704046607,0.0003086635551881045,0.0003268094442319125,0.00034495536237955093,0.0003631012805271894,0.00038124716957099736,0.0003993930877186358,0.0004175389767624438,0.0004356848949100822,0.00045383081305772066,0.00047197670210152864,0.0004901225911453366,0.0005082685383968055,0.0005264144274406135,0.0005445603164844215,0.0005627062637358904,0.0005808521527796984],""values"":[127,113,79,55,45,28,26,13,6,9,1,3,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1],""_type"":""histogram""}","0.7197265625","0.65771484375","","","",""
"20_S0_ID_38_MOD","1209","-","SWP0, modded","finished","x7d3dhxp","ricu","","","2024-01-05T00:42:55.000Z","2024-01-05T01:03:04.000Z","2024-01-05T01:03:04.000Z","","drax","","","","2","NVIDIA A40","0.2","pcid_1420","4","0.9","0.999","0","1","0","80","16","","false","0.00002","linear","128","6400","bert-base-uncased","false","800","640","","/home/lange/fantastic-umbrella/runs/20_sweeps_00_modded/run_38","false","128","32","","all","20_sweeps","","qnli","","256","","","0.1","0.01","true","0.7392578125","1.7158019542694092","0.9785242080688475","0.46810182929039","","","","","0.0004857937165070325","[0.000485792028484866,0.00048579543363302946]","","","","0.74169921875","145","1168","0.5979863405227661","31","256","","","","","","","","","","","","","305","","","","","","","","","","","","","0.00008346809045178816","0.9999165534973145","0.0005869254819117486","0.9994350671768188","{""_type"":""histogram"",""bins"":[5.180692141948384e-7,0.006211028899997473,0.01242153998464346,0.01863205060362816,0.024842560291290283,0.031053071841597557,0.03726358339190483,0.043474093079566956,0.04968460276722908,0.0558951161801815,0.06210562586784363,0.06831613928079605,0.07452664524316788,0.0807371586561203,0.08694766461849213,0.09315817803144455,0.09936869144439697,0.1055791974067688,0.11178971081972122,0.11800022423267365,0.12421073019504547,0.1304212361574173,0.13663175702095032,0.14284226298332214,0.14905276894569397,0.155263289809227,0.16147379577159882,0.16768430173397064,0.17389482259750366,0.1801053285598755,0.18631583452224731,0.19252635538578033,0.19873686134815216],""values"":[508,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]}","0.7314453125","0.70947265625","","","",""
"20_S0_ID_34_MOD","816","-","SWP0, modded","finished","0cwqdb88","ricu","","","2024-01-05T00:35:51.000Z","2024-01-05T00:49:27.000Z","2024-01-05T00:49:27.000Z","","drax","","","","2","NVIDIA A40","0.2","pcid_1419","5","0.9","0.999","0","1","0","40","16","","false","0.00002","linear","128","3200","bert-base-uncased","false","400","320","","/home/lange/fantastic-umbrella/runs/20_sweeps_00_modded/run_34","false","128","32","","all","20_sweeps","","qnli","","256","","","0.1","0.01","true","0.73876953125","1.8358139991760256","0.9890927076339722","0.4837916493415833","","","","","0.002209319733083248","[0.002209319733083248,0.002209319733083248]","","","","0.74072265625","93","752","0.593713104724884","15","128","","","","","","","","","","","","","173","","","","","","","","","","","","","0.00027149144443683326","0.999728500843048","0.004891008138656616","0.999023735523224","{""values"":[510,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[2.8418733677426644e-7,0.0388871505856514,0.07777401804924011,0.11666088551282883,0.15554775297641754,0.19443461298942566,0.23332147300243378,0.2722083330154419,0.3110952079296112,0.3499820828437805,0.38886895775794983,0.42775580286979675,0.46664267778396606,0.505529522895813,0.5444164276123047,0.5833032727241516,0.6221901178359985,0.6610770225524902,0.6999638676643372,0.7388507127761841,0.7777376174926758,0.8166244626045227,0.8555113077163696,0.8943982124328613,0.9332850575447083,0.9721719622612,1.0110588073730469,1.0499457120895386,1.0888324975967407,1.1277194023132324,1.1666063070297241,1.2054930925369263,1.244379997253418]}","0.732421875","0.68603515625","","","",""
"20_S0_ID_33_MOD","1505","-","SWP0, modded","finished","330z2eqp","ricu","","","2024-01-05T00:10:24.000Z","2024-01-05T00:35:29.000Z","2024-01-05T00:35:29.000Z","","drax","","","","2","NVIDIA A40","0.2","pcid_1419","4","0.9","0.999","0","1","0","40","16","","false","0.00002","linear","128","3200","bert-base-uncased","false","400","320","","/home/lange/fantastic-umbrella/runs/20_sweeps_00_modded/run_33","false","128","32","","all","20_sweeps","","qnli","","256","","","0.1","0.01","true","0.732421875","1.735662579536438","0.978316068649292","0.46796390414237976","","","","","0.00018941120652016252","[0.00018941081361845136,0.0001894115848699585]","","","","0.73388671875","247","1984","0.5998719930648804","19","160","","","","","","","","","","","","","327","","","","","","","","","","","","","0.00009658600902184844","0.9999032616615297","0.00027726913685910404","0.999722957611084","{""values"":[410,58,13,12,5,4,1,0,0,1,0,0,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[1.880470961168612e-7,0.00025560869835317135,0.0005110293859615922,0.0007664500153623521,0.001021870644763112,0.001277291332371533,0.0015327120199799538,0.0017881327075883746,0.0020435533951967955,0.0022989739663898945,0.002554394770413637,0.002809815341606736,0.003065235912799835,0.003320656716823578,0.003576077288016677,0.003831497859209776,0.004086918663233519,0.004342339467257261,0.004597759805619717,0.004853180609643459,0.005108601413667202,0.005364021752029657,0.0056194425560534,0.005874863360077143,0.006130283698439598,0.006385704502463341,0.0066411253064870834,0.006896546110510826,0.0071519664488732815,0.007407387252897024,0.007662808056920767,0.007918228395283222,0.008173649199306965]}","0.72607421875","0.68359375","","","",""
"20_S0_ID_32_MOD","656","-","SWP0, modded","finished","1k18e0cb","ricu","","","2024-01-04T23:59:05.000Z","2024-01-05T00:10:01.000Z","2024-01-05T00:10:01.000Z","","drax","","","","2","NVIDIA A40","0.2","pcid_1419","3","0.9","0.999","0","1","0","40","16","","false","0.00002","linear","128","3200","bert-base-uncased","false","400","320","","/home/lange/fantastic-umbrella/runs/20_sweeps_00_modded/run_32","false","128","32","","all","20_sweeps","","qnli","","256","","","0.1","0.01","true","0.73388671875","1.8115779161453247","0.9898409247398376","0.4848688840866089","","","","","0.0037365583702921863","[0.0037365618627518415,0.003736555110663176]","","","","0.7392578125","55","448","0.5792170166969299","21","176","","","","","","","","","","","","","135","","","","","","","","","","","","","0.00025862964685074985","0.9997414946556092","0.0068519809283316135","0.9981335997581482","{""bins"":[4.700268618762493e-8,0.03558729961514473,0.07117455452680588,0.10676180571317673,0.14234906435012817,0.17793631553649902,0.21352356672286987,0.24911081790924072,0.2846980690956116,0.3202853202819824,0.35587257146835327,0.3914598226547241,0.42704707384109497,0.4626343548297882,0.49822160601615906,0.5338088274002075,0.5693960785865784,0.6049833297729492,0.6405705809593201,0.6761578917503357,0.7117451429367065,0.7473323941230774,0.7829196453094482,0.8185068964958191,0.8540941476821899,0.8896813988685608,0.9252686500549316,0.9608559012413025,0.9964431524276733,1.0320303440093994,1.067617654800415,1.1032048463821411,1.1387921571731567],""_type"":""histogram"",""values"":[509,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1]}","0.7392578125","0.69287109375","","","",""
"20_S1_ID_39_VAN","1491","-","SWP1, vanilla","finished","6gow1nsp","ricu","","","2024-01-04T23:39:08.000Z","2024-01-05T00:03:59.000Z","2024-01-05T00:03:59.000Z","","drax","","","","2","NVIDIA A40","0.2","pcid_1428","5","0.9","0.999","","1","0","80","16","","false","0.00002","linear","128","6400","bert-base-uncased","false","800","640","","/home/lange/fantastic-umbrella/runs/20_sweeps_01_vanilla/run_39","false","128","32","","all","20_sweeps","","qnli","","256","","","0.1","0.01","true","0.74169921875","1.9864555597305296","0.9870301485061646","0.4813821613788605","","","","","","","","","","0.7529296875","271","2176","0.5835766792297363","23","192","","","","","","","","","","","","","431","","","","","","","","","","","","","","","0.00011965612065978348","0.9998804330825806","","0.74462890625","0.69287109375","","","",""
"20_S0_ID_31_MOD","1869","-","SWP0, modded","finished","sxmviyoc","ricu","","","2024-01-04T23:27:32.000Z","2024-01-04T23:58:41.000Z","2024-01-04T23:58:41.000Z","","drax","","","","2","NVIDIA A40","0.2","pcid_1419","2","0.9","0.999","0","1","0","40","16","","false","0.00002","linear","128","3200","bert-base-uncased","false","400","320","","/home/lange/fantastic-umbrella/runs/20_sweeps_00_modded/run_31","false","128","32","","all","20_sweeps","","qnli","","256","","","0.1","0.01","true","0.73828125","1.9032727479934692","0.9875866770744324","0.4819627702236175","","","","","0.004100383259356022","[0.004100384656339884,0.004100382793694735]","","","","0.73974609375","329","2640","0.5992431044578552","17","144","","","","","","","","","","","","","399","","","","","","","","","","","","","0.00013730725913774222","0.9998626708984376","0.016291936859488487","0.9994375705718994","{""_type"":""histogram"",""bins"":[7.33998604118824e-8,0.04395247623324394,0.08790487796068192,0.1318572759628296,0.17580968141555786,0.21976208686828613,0.2637144923210144,0.3076668977737427,0.35161930322647095,0.3955717086791992,0.4395241141319275,0.48347651958465576,0.527428925037384,0.5713813304901123,0.6153337359428406,0.6592861413955688,0.7032385468482971,0.7471909523010254,0.7911433577537537,0.8350957632064819,0.8790481090545654,0.9230005145072937,0.966952919960022,1.010905385017395,1.0548577308654785,1.0988101959228516,1.142762541770935,1.186715006828308,1.2306673526763916,1.2746198177337646,1.3185721635818481,1.3625246286392212,1.4064769744873047],""values"":[509,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1]}","0.728515625","0.6845703125","","","",""
