"Name","State","Notes","User","Tags","Created","Runtime","Sweep","beta1","beta2","catch_dropout","dataset_seed","early_stopping_min_delta","early_stopping_patience","evaluation_steps","gradient_accumulation_steps","ignore_mismatched_sizes","insert_dropout","learning_rate","lr_scheduler_type","max_length","max_train_steps","model_name_or_path","no_checkpointing","num_train_epochs","num_warmup_steps","original_gradient_fraction","output_dir","pad_to_max_length","param_config_id","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","run_generation","seed","task","task_name","train_data_frac","training_size","use_modded","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","accuracy","accuracy.max","accuracy_mm","avg_eval_p_max","avg_eval_p_var","avg_grad_diff_all_classes","avg_grad_diff_per_class","avg_train_p0","avg_train_p_max","avg_train_p_var","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","epoch","eval_loss","eval_loss.min","eval_loss_mm","eval_p_max","eval_p_max_mm","eval_p_var","eval_p_var_mm","f1","matthews_correlation","pearson","spearmanr","test_accuracy","test_accuracy_best_accuracy","test_accuracy_best_eval_loss","test_accuracy_best_f1","test_f1_best_accuracy","test_f1_best_eval_loss","test_f1_best_f1","train_loss","train_p_max","train_p_var","train_st1_loss","train_st1_p_max","train_st2_loss","train_st2_p_max","vector_norms"
"21_S11_ID_53_VAN","finished","-","ricu","SWP11, vanilla","2024-01-07T12:05:24.000Z","66","","0.9","0.999","","3","0","5","32","","false","0.16","0.00004","linear","128","800","bert-base-uncased","false","50","80","","/home/lange/fantastic-umbrella/runs/21_sweeps_12_vanilla/run_53","false","pcid_1644","128","32","","all","21_sweeps","3","","sst2","","512","","","0.1","0.01","true","0.8291015625","","","","","","","","","","0.876953125","7","128","0.3649218678474426","3","64","","","","","","","","","","","","","17","0.8458013534545898","","","0.9810359477996826","","0.4716937243938446","","","","","","","0.8486328125","0.8408203125","","","","","","","","","","0.004901528358459473","0.9955883622169496",""
"21_S11_ID_52_VAN","finished","-","ricu","SWP11, vanilla","2024-01-07T12:04:11.000Z","54","","0.9","0.999","","3","0","5","32","","false","0.16","0.00004","linear","128","800","bert-base-uncased","false","50","80","","/home/lange/fantastic-umbrella/runs/21_sweeps_12_vanilla/run_52","false","pcid_1644","128","32","","all","21_sweeps","2","","sst2","","512","","","0.1","0.01","true","0.86083984375","","","","","","","","","","0.87060546875","3","64","0.32815226912498474","3","64","","","","","","","","","","","","","13","0.6133003830909729","","","0.982534110546112","","0.4728994965553284","","","","","","","0.8466796875","0.8466796875","","","","","","","","","","0.010381311178207396","0.9927551746368408",""
"21_S11_ID_51_VAN","finished","-","ricu","SWP11, vanilla","2024-01-07T12:02:27.000Z","85","","0.9","0.999","","3","0","5","32","","false","0.16","0.00004","linear","128","800","bert-base-uncased","false","50","80","","/home/lange/fantastic-umbrella/runs/21_sweeps_12_vanilla/run_51","false","pcid_1644","128","32","","all","21_sweeps","1","","sst2","","512","","","0.1","0.01","true","0.8720703125","","","","","","","","","","0.8828125","17","288","0.35095110535621643","3","64","","","","","","","","","","","","","27","0.6033111214637756","","","0.9847612977027892","","0.4766184687614441","","","","","","","0.8671875","0.84765625","","","","","","","","","","0.006158194970339537","0.998555302619934",""
"21_S11_ID_50_VAN","finished","-","ricu","SWP11, vanilla","2024-01-07T12:01:18.000Z","50","","0.9","0.999","","2","0","5","32","","false","0.16","0.00004","linear","128","800","bert-base-uncased","false","50","80","","/home/lange/fantastic-umbrella/runs/21_sweeps_12_vanilla/run_50","false","pcid_1643","128","32","","all","21_sweeps","3","","sst2","","512","","","0.1","0.01","true","0.8671875","","","","","","","","","","0.87744140625","3","64","0.31936734914779663","3","64","","","","","","","","","","","","","13","0.5346391201019287","","","0.9752531051635742","","0.4626060128211975","","","","","","","0.85302734375","0.85302734375","","","","","","","","","","0.04797692969441414","0.9839489459991456",""
"21_S11_ID_49_VAN","finished","-","ricu","SWP11, vanilla","2024-01-07T12:00:06.000Z","52","","0.9","0.999","","2","0","5","32","","false","0.16","0.00004","linear","128","800","bert-base-uncased","false","50","80","","/home/lange/fantastic-umbrella/runs/21_sweeps_12_vanilla/run_49","false","pcid_1643","128","32","","all","21_sweeps","2","","sst2","","512","","","0.1","0.01","true","0.81103515625","","","","","","","","","","0.86669921875","3","64","0.3556205928325653","3","64","","","","","","","","","","","","","13","0.8009522557258606","","","0.9693602323532104","","0.45278093218803406","","","","","","","0.85302734375","0.85302734375","","","","","","","","","","0.021910030394792557","0.9908925890922546",""
"21_S11_ID_48_VAN","finished","-","ricu","SWP11, vanilla","2024-01-07T11:57:27.000Z","138","","0.9","0.999","","2","0","5","32","","false","0.16","0.00004","linear","128","800","bert-base-uncased","false","50","80","","/home/lange/fantastic-umbrella/runs/21_sweeps_12_vanilla/run_48","false","pcid_1643","128","32","","all","21_sweeps","1","","sst2","","512","","","0.1","0.01","true","0.87890625","","","","","","","","","","0.8798828125","43","704","0.38827040791511536","3","64","","","","","","","","","","","","","49","0.6273829340934753","","","0.9833613038063048","","0.4752146899700165","","","","","","","0.86328125","0.830078125","","","","","","","","","","0.0008478556992486119","0.9991536140441896",""
"21_S11_ID_47_VAN","finished","-","ricu","SWP11, vanilla","2024-01-07T11:55:38.000Z","90","","0.9","0.999","","1","0","5","32","","false","0.16","0.00004","linear","128","800","bert-base-uncased","false","50","80","","/home/lange/fantastic-umbrella/runs/21_sweeps_12_vanilla/run_47","false","pcid_1642","128","32","","all","21_sweeps","3","","sst2","","512","","","0.1","0.01","true","0.87890625","","","","","","","","","","0.8818359375","19","320","0.3274223804473877","3","64","","","","","","","","","","","","","29","0.6327729821205139","","","0.9829882383346558","","0.47460415959358215","","","","","","","0.8603515625","0.865234375","","","","","","","","","","0.0010899513727054","0.9989113807678224",""
"21_S11_ID_46_VAN","finished","-","ricu","SWP11, vanilla","2024-01-07T11:54:04.000Z","75","","0.9","0.999","","1","0","5","32","","false","0.16","0.00004","linear","128","800","bert-base-uncased","false","50","80","","/home/lange/fantastic-umbrella/runs/21_sweeps_12_vanilla/run_46","false","pcid_1642","128","32","","all","21_sweeps","2","","sst2","","512","","","0.1","0.01","true","0.8818359375","","","","","","","","","","0.88720703125","11","192","0.3412773907184601","3","64","","","","","","","","","","","","","21","0.5297102928161621","","","0.9787824153900146","","0.46846112608909607","","","","","","","0.86669921875","0.85107421875","","","","","","","","","","0.00276024523191154","0.9973976016044616",""
"21_S11_ID_45_VAN","finished","-","ricu","SWP11, vanilla","2024-01-07T11:52:21.000Z","82","","0.9","0.999","","1","0","5","32","","false","0.16","0.00004","linear","128","800","bert-base-uncased","false","50","80","","/home/lange/fantastic-umbrella/runs/21_sweeps_12_vanilla/run_45","false","pcid_1642","128","32","","all","21_sweeps","1","","sst2","","512","","","0.1","0.01","true","0.87548828125","","","","","","","","","","0.884765625","15","256","0.36775749921798706","3","64","","","","","","","","","","","","","25","0.5782787203788757","","","0.979721188545227","","0.4703974425792694","","","","","","","0.86767578125","0.837890625","","","","","","","","","","0.002282141475006938","0.9978650212287904",""
"21_S11_ID_44_VAN","finished","-","ricu","SWP11, vanilla","2024-01-07T11:50:59.000Z","63","","0.9","0.999","","3","0","5","32","","false","0.16","0.00002","linear","128","800","bert-base-uncased","false","50","80","","/home/lange/fantastic-umbrella/runs/21_sweeps_12_vanilla/run_44","false","pcid_1641","128","32","","all","21_sweeps","3","","sst2","","512","","","0.1","0.01","true","0.87646484375","","","","","","","","","","0.88427734375","7","128","0.3323591351509094","5","96","","","","","","","","","","","","","17","0.469409704208374","","","0.9711042046546936","","0.456213653087616","","","","","","","0.85791015625","0.8583984375","","","","","","","","","","0.0277870986610651","0.990441918373108",""
