"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ID","Group","Job Type","Updated","End Time","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","beta1","beta2","catch_dropout","dataset_seed","early_stopping_min_delta","early_stopping_patience","evaluation_steps","gradient_accumulation_steps","ignore_mismatched_sizes","insert_dropout","learning_rate","lr_scheduler_type","max_length","max_train_steps","model_name_or_path","no_checkpointing","num_train_epochs","num_warmup_steps","original_gradient_fraction","output_dir","pad_to_max_length","param_config_id","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","run_generation","seed","task","task_name","train_data_frac","training_size","use_modded","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","accuracy","accuracy.max","accuracy_mm","avg_eval_p_max","avg_eval_p_var","avg_grad_diff_all_classes","avg_grad_diff_per_class","avg_train_p0","avg_train_p_max","avg_train_p_var","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","epoch","eval_loss","eval_loss.min","eval_loss_mm","eval_p_max","eval_p_max_mm","eval_p_var","eval_p_var_mm","f1","matthews_correlation","pearson","spearmanr","test_accuracy","test_accuracy_best_accuracy","test_accuracy_best_eval_loss","test_accuracy_best_f1","test_f1_best_accuracy","test_f1_best_eval_loss","test_f1_best_f1","train_loss","train_p_max","train_p_var","train_st1_loss","train_st1_p_max","train_st2_loss","train_st2_p_max","vector_norms"
"23_S1_ID_239_VAN","finished","-","ricu","SWP1, vanilla","2024-01-11T02:30:09.000Z","129","","zworb74h","","","2024-01-11T02:32:18.000Z","2024-01-11T02:32:18.000Z","drax","","","","2","NVIDIA A40","0.9","0.999","","5","0","80","2","","false","0.28","0.00002","linear","128","800","/home/lange/fantastic-umbrella/it_reference","false","400","80","","/home/lange/fantastic-umbrella/runs/23_sweeps_01_vanilla/run_239","false","pcid_1948","128","32","","all","23_sweeps","3","","rte","","64","","","0.1","0.01","true","0.5760869565217391","","","","","","","","","","0.6014492753623188","23","48","0.8053076267242432","20","42","","","","","","","","","","","","","103","1.9617551565170288","","","0.9347020983695984","","0.4035298228263855","","","","","","","0.6028880866425993","","","","","","","","","","","0.004114523064345121","0.9960456490516664",""
"23_S1_ID_238_VAN","finished","-","ricu","SWP1, vanilla","2024-01-11T02:26:23.000Z","209","","yk7nxt8f","","","2024-01-11T02:29:52.000Z","2024-01-11T02:29:52.000Z","drax","","","","2","NVIDIA A40","0.9","0.999","","5","0","80","2","","false","0.28","0.00002","linear","128","800","/home/lange/fantastic-umbrella/it_reference","false","400","80","","/home/lange/fantastic-umbrella/runs/23_sweeps_01_vanilla/run_238","false","pcid_1948","128","32","","all","23_sweeps","2","","rte","","64","","","0.1","0.01","true","0.5869565217391305","","","","","","","","","","0.6086956521739131","97","196","0.7902552485466003","19","40","","","","","","","","","","","","","177","1.9617996215820312","","","0.9279364943504332","","0.3996311128139496","","","","","","","0.5956678700361011","","","","","","","","","","","0.0015915471594780684","0.9984127283096312",""
"23_S1_ID_237_VAN","finished","-","ricu","SWP1, vanilla","2024-01-11T02:22:42.000Z","206","","97lybquc","","","2024-01-11T02:26:08.000Z","2024-01-11T02:26:08.000Z","drax","","","","2","NVIDIA A40","0.9","0.999","","5","0","80","2","","false","0.28","0.00002","linear","128","800","/home/lange/fantastic-umbrella/it_reference","false","400","80","","/home/lange/fantastic-umbrella/runs/23_sweeps_01_vanilla/run_237","false","pcid_1948","128","32","","all","23_sweeps","1","","rte","","64","","","0.1","0.01","true","0.572463768115942","","","","","","","","","","0.605072463768116","78","158","0.8182348012924194","20","42","","","","","","","","","","","","","158","2.0704097747802734","","","0.9464353322982788","","0.421118825674057","","","","","","","0.6064981949458483","","","","","","","","","","","0.0017160936258733273","0.9982864856719972",""
"23_S1_ID_236_VAN","finished","-","ricu","SWP1, vanilla","2024-01-11T02:20:22.000Z","124","","7ekms3rs","","","2024-01-11T02:22:26.000Z","2024-01-11T02:22:26.000Z","drax","","","","2","NVIDIA A40","0.9","0.999","","4","0","80","2","","false","0.28","0.00002","linear","128","800","/home/lange/fantastic-umbrella/it_reference","false","400","80","","/home/lange/fantastic-umbrella/runs/23_sweeps_01_vanilla/run_236","false","pcid_1947","128","32","","all","23_sweeps","3","","rte","","64","","","0.1","0.01","true","0.5217391304347826","","","","","","","","","","0.5942028985507246","25","52","0.8415631651878357","21","44","","","","","","","","","","","","","105","2.142609119415283","","","0.948215901851654","","0.4230755567550659","","","","","","","0.5884476534296029","","","","","","","","","","","0.003105671145021915","0.9969226121902466",""
"23_S1_ID_235_VAN","finished","-","ricu","SWP1, vanilla","2024-01-11T02:18:06.000Z","119","","556fv6ji","","","2024-01-11T02:20:05.000Z","2024-01-11T02:20:05.000Z","drax","","","","2","NVIDIA A40","0.9","0.999","","4","0","80","2","","false","0.28","0.00002","linear","128","800","/home/lange/fantastic-umbrella/it_reference","false","400","80","","/home/lange/fantastic-umbrella/runs/23_sweeps_01_vanilla/run_235","false","pcid_1947","128","32","","all","23_sweeps","2","","rte","","64","","","0.1","0.01","true","0.532608695652174","","","","","","","","","","0.5905797101449275","12","26","0.8124499320983887","20","42","","","","","","","","","","","","","100","2.0349812507629395","","","0.942555844783783","","0.4156610369682312","","","","","","","0.5812274368231047","","","","","","","","","","","0.0025605065748095512","0.997445821762085",""
"23_S1_ID_234_VAN","finished","-","ricu","SWP1, vanilla","2024-01-11T02:15:13.000Z","159","","jwzb9re1","","","2024-01-11T02:17:52.000Z","2024-01-11T02:17:52.000Z","drax","","","","2","NVIDIA A40","0.9","0.999","","4","0","80","2","","false","0.28","0.00002","linear","128","800","/home/lange/fantastic-umbrella/it_reference","false","400","80","","/home/lange/fantastic-umbrella/runs/23_sweeps_01_vanilla/run_234","false","pcid_1947","128","32","","all","23_sweeps","1","","rte","","64","","","0.1","0.01","true","0.532608695652174","","","","","","","","","","0.5905797101449275","50","102","0.8650345206260681","21","44","","","","","","","","","","","","","130","2.110076665878296","","","0.9317054152488708","","0.4047503173351288","","","","","","","0.592057761732852","","","","","","","","","","","0.00330208521336317","0.996734857559204",""
"23_S1_ID_233_VAN","finished","-","ricu","SWP1, vanilla","2024-01-11T02:12:17.000Z","161","","4uqmziru","","","2024-01-11T02:14:58.000Z","2024-01-11T02:14:58.000Z","drax","","","","2","NVIDIA A40","0.9","0.999","","3","0","80","2","","false","0.28","0.00002","linear","128","800","/home/lange/fantastic-umbrella/it_reference","false","400","80","","/home/lange/fantastic-umbrella/runs/23_sweeps_01_vanilla/run_233","false","pcid_1946","128","32","","all","23_sweeps","3","","rte","","64","","","0.1","0.01","true","0.5471014492753623","","","","","","","","","","0.5869565217391305","60","122","0.883342444896698","15","32","","","","","","","","","","","","","140","2.201733350753784","","","0.953124463558197","","0.4299294352531433","","","","","","","0.5848375451263538","","","","","","","","","","","0.0018323149997740984","0.9981711506843568",""
"23_S1_ID_232_VAN","finished","-","ricu","SWP1, vanilla","2024-01-11T02:09:39.000Z","142","","nosyr96w","","","2024-01-11T02:12:01.000Z","2024-01-11T02:12:01.000Z","drax","","","","2","NVIDIA A40","0.9","0.999","","3","0","80","2","","false","0.28","0.00002","linear","128","800","/home/lange/fantastic-umbrella/it_reference","false","400","80","","/home/lange/fantastic-umbrella/runs/23_sweeps_01_vanilla/run_232","false","pcid_1946","128","32","","all","23_sweeps","2","","rte","","64","","","0.1","0.01","true","0.5507246376811594","","","","","","","","","","0.5797101449275363","41","84","0.8761372566223145","16","34","","","","","","","","","","","","","121","2.009990692138672","","","0.9456652998924256","","0.4201841950416565","","","","","","","0.5667870036101083","","","","","","","","","","","0.0025660423561930656","0.9974414110183716",""
"23_S1_ID_231_VAN","finished","-","ricu","SWP1, vanilla","2024-01-11T02:06:54.000Z","150","","x4zr475a","","","2024-01-11T02:09:24.000Z","2024-01-11T02:09:24.000Z","drax","","","","2","NVIDIA A40","0.9","0.999","","3","0","80","2","","false","0.28","0.00002","linear","128","800","/home/lange/fantastic-umbrella/it_reference","false","400","80","","/home/lange/fantastic-umbrella/runs/23_sweeps_01_vanilla/run_231","false","pcid_1946","128","32","","all","23_sweeps","1","","rte","","64","","","0.1","0.01","true","0.5543478260869565","","","","","","","","","","0.5797101449275363","54","110","0.8654674291610718","19","40","","","","","","","","","","","","","134","1.9541254043579104","","","0.9351527094841005","","0.4067319631576538","","","","","","","0.5703971119133574","","","","","","","","","","","0.004060792736709118","0.99607115983963",""
"23_S1_ID_230_VAN","finished","-","ricu","SWP1, vanilla","2024-01-11T02:01:46.000Z","292","","ipmuichh","","","2024-01-11T02:06:38.000Z","2024-01-11T02:06:38.000Z","drax","","","","2","NVIDIA A40","0.9","0.999","","2","0","80","2","","false","0.28","0.00002","linear","128","800","/home/lange/fantastic-umbrella/it_reference","false","400","80","","/home/lange/fantastic-umbrella/runs/23_sweeps_01_vanilla/run_230","false","pcid_1945","128","32","","all","23_sweeps","3","","rte","","64","","","0.1","0.01","true","0.5869565217391305","","","","","","","","","","0.605072463768116","171","344","0.8303923606872559","16","34","","","","","","","","","","","","","251","2.1036376953125","","","0.9408709406852722","","0.4165171980857849","","","","","","","0.5956678700361011","","","","","","","","","","","0.0009869085624814034","0.9990137219429016",""
