"Name","Runtime","Notes","State","Tags","beta1","beta2","catch_dropout","early_stopping_patience","evaluation_steps","insert_dropout","learning_rate","output_dir","param_config_id","seed","weight_decay","accuracy","avg_grad_diff_all_classes","avg_grad_diff_per_class","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","epoch","eval_loss","eval_p_max","eval_p_var","train_loss","train_p_max","train_p_var","train_st1_loss","train_st1_p_max","train_st2_loss","train_st2_p_max","accuracy_mm","eval_loss_mm","eval_p_max_mm","eval_p_var_mm"
"16_modded_base_sweep_01_modded/run_44","1572","-","finished","modded","0.9","0.999","0","10","16","0.08","0.000004","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_44","pcid_0504","3","0.01","0.6983342485813655","0.0035313358530402184","[0.0035313344560563564,0.003531337482854724]","0.7012630422844591","159","1280","0.6719225645065308","29","240","179","1.1210038661956787","0.9451465010643004","0.4174858033657074","","","","0.004575395956635475","0.9954373240470886","0.008517737500369549","0.9923104047775269","","","",""
"16_modded_base_sweep_01_modded/run_43","704","-","finished","modded","0.9","0.999","0","10","16","0.08","0.000004","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_43","pcid_0504","2","0.01","0.7331136738056013","0.005867239087820053","[0.005867235828191042,0.005867242813110352]","0.7360424675086948","55","448","0.5829267501831055","21","176","75","0.8954609036445618","0.9469307065010072","0.4160613417625427","","","","0.011042551137506962","0.9890273213386536","0.01670919358730316","0.983639359474182","","","",""
"16_modded_base_sweep_01_modded/run_42","867","-","finished","modded","0.9","0.999","0","10","16","0.08","0.000004","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_42","pcid_0504","1","0.01","0.729269632070291","0.00432978430762887","[0.004329785238951445,0.004329783376306295]","0.7301848801025078","75","608","0.5913395285606384","21","176","95","0.9443766474723816","0.9494473338127136","0.41986244916915894","","","","0.021116701886057857","0.9886302947998048","0.025776054710149765","0.9856211543083192","","","",""
"16_modded_base_sweep_01_modded/run_41","877","-","finished","modded","0.9","0.999","0","10","16","0.08","0.000008","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_41","pcid_0503","3","0.01","0.7021782903166758","0.0015831764321774244","[0.0015831761993467808,0.0015831768978387115]","0.7023613399231191","79","640","0.6624626517295837","21","176","99","1.2442986965179443","0.9556980729103088","0.43341508507728577","","","","0.0024759371299296618","0.9975277781486512","0.004003201145678759","0.9960441589355468","","","",""
"16_modded_base_sweep_01_modded/run_40","503","-","finished","modded","0.9","0.999","0","10","16","0.08","0.000008","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_40","pcid_0503","2","0.01","0.738239062786015","0.0034367339685559273","[0.0034367339685559273,0.0034367339685559273]","0.7422661541277686","33","272","0.5917920470237732","15","128","53","0.9461270570755004","0.9525405764579772","0.4263914227485657","","","","0.006797070614993572","0.9932284951210022","0.009855581447482107","0.9902523756027222","","","",""
"16_modded_base_sweep_01_modded/run_39","1025","-","finished","modded","0.9","0.999","0","10","16","0.08","0.000008","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_39","pcid_0503","1","0.01","0.7343950210507048","0.0006792932981625199","[0.0006792902713641524,0.0006792963249608874]","0.7349441698700347","93","752","0.5798211693763733","15","128","113","1.264836311340332","0.974668025970459","0.46096041798591614","","","","0.0018194274744018912","0.9981822967529296","0.0024366099387407303","0.997567892074585","","","",""
"16_modded_base_sweep_01_modded/run_38","1020","-","finished","modded","0.9","0.999","0","10","16","0.08","0.00001","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_38","pcid_0502","3","0.01","0.7069375800842028","0.0007631776388734579","[0.0007631802000105381,0.0007631749613210559]","0.7080358777228629","95","768","0.6562920212745667","19","160","115","1.374170184135437","0.961552917957306","0.44305822253227234","","","","0.001065772958099842","0.9989347457885742","0.0018059101421386003","0.9981982707977296","","","",""
"16_modded_base_sweep_01_modded/run_37","1602","-","finished","modded","0.9","0.999","0","10","16","0.08","0.00001","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_37","pcid_0502","2","0.01","0.7466593446824089","0.00034782037255354226","[0.0003478203434497118,0.00034782037255354226]","0.7470254438952956","153","1232","0.5807077884674072","15","128","173","1.3834336996078491","0.9799032211303712","0.4700615108013153","","","","0.0008514888468198478","0.9991488456726074","0.0011717919260263443","0.998829185962677","","","",""
"16_modded_base_sweep_01_modded/run_36","1782","-","finished","modded","0.9","0.999","0","10","16","0.08","0.00001","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_36","pcid_0502","1","0.01","0.7353102690829215","0.00025789730716496706","[0.00025789899518713355,0.00025789556093513966]","0.7356763682958082","177","1424","0.5841047763824463","15","128","197","1.431397795677185","0.9791221618652344","0.46846243739128113","","","","0.0007426695665344596","0.9992575645446776","0.0009815158555284142","0.9990189671516418","","","",""
"16_modded_base_sweep_01_modded/run_35","585","-","finished","modded","0.9","0.999","0","10","16","0.08","0.00002","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_35","pcid_0501","3","0.01","0.6974190005491488","0.00039933150401338935","[0.00039933028165251017,0.0003993326972704381]","0.7062053816584294","45","368","0.6710365414619446","15","128","65","1.6302199363708496","0.971194624900818","0.45766177773475647","","","","0.0005973493680357933","0.9994027614593506","0.0009824701119214296","0.9990188479423524","","","",""
