"Name","Runtime","Notes","Tags","ID","State","User","Group","Job Type","Created","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","catch_dropout","early_stopping_patience","insert_dropout","learning_rate","max_train_steps","num_train_epochs","num_warmup_steps","output_dir","dataset_seed","beta1","beta2","early_stopping_min_delta","evaluation_steps","gradient_accumulation_steps","ignore_mismatched_sizes","lr_scheduler_type","max_length","model_name_or_path","original_gradient_fraction","pad_to_max_length","param_config_id","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","run_generation","seed","task","task_name","train_data_frac","training_size","use_modded","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","accuracy","avg_grad_diff_all_classes","avg_grad_diff_per_class","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","epoch","eval_loss","eval_p_max","eval_p_var","train_st1_loss","train_st1_p_max","train_st2_loss","train_st2_p_max","accuracy.max","accuracy_mm","avg_eval_p_max","avg_eval_p_var","avg_train_p0","avg_train_p_max","avg_train_p_var","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","eval_loss.min","eval_loss_mm","eval_p_max_mm","eval_p_var_mm","f1","matthews_correlation","pearson","spearmanr","train_loss","train_p_max","train_p_var"
"18_SWP8_ID_125_MOD","241","-","NEW_GRAD_OUTPUT, SWP8, modded","pp56skk0","finished","ricu","","","2023-12-29T20:42:08.000Z","2023-12-29T20:46:09.000Z","2023-12-29T20:46:09.000Z","","drax","","","","2","NVIDIA A40","0","25","0.16","0.00006","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_08_modded/run_125","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_1057","128","32","false","all","18_sweeps","3","","mrpc","","64","","false","0.1","0.01","true","0.6871884346959123","0.0002520207781344652","[0.0002520203997846693,0.0002520211855880916]","0.7008973080757727","21","44","0.6010233759880066","11","24","71","2.2382209300994873","0.9938069581985474","0.49035724997520447","0.00038580026011914015","0.9996142983436584","0.0005958278197795153","0.9994044303894044","","","","","","","","0.8105794221067115","19","40","","","","","","","","","","","","","","0.8101648767206171","","","","","",""
"18_SWP8_ID_107_MOD","263","-","NEW_GRAD_INPUT, SWP8, modded","ux5m2njf","running","ricu","","","2023-12-29T20:42:01.000Z","2023-12-29T20:46:24.000Z","2023-12-29T20:46:24.000Z","","drax","","","","2","NVIDIA A40","0","25","0.12","0.00002","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_08_modded/run_107","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_1051","128","32","false","all","18_sweeps","3","","mrpc","","64","","false","0.1","0.01","true","0.6859421734795613","0.00005002109537599608","{""values"":[61,63,61,43,76,57,47,41,43,37,29,34,28,29,19,18,15,13,8,9,10,10,4,3,4,0,1,3,0,1,0,1],""_type"":""histogram"",""bins"":[2.529743596824119e-7,0.000006582245077879634,0.000012911516023450531,0.000019240786059526727,0.000025570057914592326,0.000031899329769657925,0.00003822859798674472,0.000044557869841810316,0.000050887141696875915,0.000057216413551941514,0.0000635456817690283,0.0000698749499861151,0.0000762042254791595,0.0000825334936962463,0.0000888627691892907,0.0000951920374063775,0.00010152130562346429,0.00010785058111650869,0.00011417984933359548,0.00012050911755068228,0.00012683839304372668,0.00013316766126081347,0.00013949692947790027,0.00014582619769498706,0.00015215548046398908,0.00015848474868107587,0.00016481401689816266,0.00017114328511524945,0.00017747255333233625,0.00018380182154942304,0.00019013110431842506,0.00019646037253551185,0.00020278964075259864]}","0.6896809571286141","19","40","0.6004848480224609","17","36","63","1.3209038972854614","0.9756670594215392","0.4591858386993408","0.008099309168756008","0.9919389486312866","0.009477773681282995","0.9905755519866944","","","","","","","","0.8099574984820885","33","68","","","","","","","","","","","","","","0.8097826086956521","","","","","",""
"18_SWP8_ID_124_MOD","191","-","NEW_GRAD_OUTPUT, SWP8, modded","ss8t3x5k","finished","ricu","","","2023-12-29T20:38:42.000Z","2023-12-29T20:41:53.000Z","2023-12-29T20:41:53.000Z","","drax","","","","2","NVIDIA A40","0","25","0.16","0.00006","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_08_modded/run_124","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_1057","128","32","false","all","18_sweeps","2","","mrpc","","64","","false","0.1","0.01","true","0.640827517447657","0.000237689062487334","[0.00023768928076606244,0.00023768882965669036]","0.6754735792622134","7","16","0.6294857859611511","7","16","57","2.2033798694610596","0.9799233078956604","0.4706394672393799","0.0005608698120340705","0.999439299106598","0.0007651459891349077","0.9992352724075316","","","","","","","","0.8063076465337697","7","16","","","","","","","","","","","","","","0.75021667533368","","","","","",""
"18_SWP8_ID_106_MOD","265","-","NEW_GRAD_INPUT, SWP8, modded","8hs51u7n","finished","ricu","","","2023-12-29T20:37:23.000Z","2023-12-29T20:41:48.000Z","2023-12-29T20:41:48.000Z","","drax","","","","2","NVIDIA A40","0","25","0.12","0.00002","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_08_modded/run_106","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_1051","128","32","false","all","18_sweeps","2","","mrpc","","64","","false","0.1","0.01","true","0.6455633100697906","0.000022578988136956468","{""_type"":""histogram"",""bins"":[5.8379630019089745e-8,0.0000029430768790916773,0.000005827774202771252,0.0000087124708443298,0.0000115971679406357,0.000014481865946436301,0.0000173665630427422,0.0000202512601390481,0.000023135957235354,0.000026020654331659898,0.000028905351427965797,0.0000317900485242717,0.000034674747439567,0.000037559442716883495,0.0000404441416321788,0.000043328836909495294,0.0000462135358247906,0.00004909823110210709,0.000051982930017402396,0.00005486762529471889,0.000057752324210014194,0.00006063701948733069,0.00006352171476464719,0.00006640641367994249,0.00006929111259523779,0.0000721758115105331,0.00007506050314987078,0.00007794520206516609,0.00008082990098046139,0.00008371459989575669,0.00008659929153509438,0.00008948399045038968,0.00009236868936568499],""values"":[66,59,63,53,45,52,50,60,48,35,34,34,29,22,26,24,15,7,10,5,4,9,5,4,0,4,2,0,0,0,1,2]}","0.6754735792622134","13","28","0.6207435727119446","15","32","65","1.5555095672607422","0.9552753567695618","0.4337193965911865","0.003267282387241721","0.9967395067214966","0.00396378431469202","0.9960463047027588","","","","","","","","0.8063076465337697","11","24","","","","","","","","","","","","","","0.7602832097100473","","","","","",""
"18_SWP8_ID_105_MOD","295","-","NEW_GRAD_INPUT, SWP8, modded","u18giyc6","finished","ricu","","","2023-12-29T20:32:13.000Z","2023-12-29T20:37:08.000Z","2023-12-29T20:37:08.000Z","","drax","","","","2","NVIDIA A40","0","25","0.12","0.00002","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_08_modded/run_105","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_1051","128","32","false","all","18_sweeps","1","","mrpc","","64","","false","0.1","0.01","true","0.6704885343968096","0.00003065551572944969","{""_type"":""histogram"",""bins"":[5.270806724411159e-8,0.000004130031811655499,0.000008207355676859152,0.000012284679542062804,0.000016362002497771755,0.00002043932727247011,0.00002451665022817906,0.000028593975002877414,0.000032671297958586365,0.000036748620914295316,0.000040825947507983074,0.000044903270463692024,0.000048980593419400975,0.000053057916375109926,0.000057135242968797684,0.00006121256592450663,0.00006528988888021559,0.00006936721183592454,0.00007344453479163349,0.00007752185774734244,0.000081599187979009,0.00008567651093471795,0.0000897538338904269,0.00009383115684613585,0.0000979084798018448,0.00010198580275755376,0.00010606312571326271,0.00011014044866897166,0.00011421777890063822,0.00011829510185634717,0.00012237242481205612,0.00012644974049180746,0.00013052707072347403],""values"":[68,63,53,54,66,54,53,60,37,41,35,28,29,19,23,19,18,9,9,4,8,8,0,4,1,1,0,2,0,1,0,1]}","0.6809571286141576","23","48","0.6250256299972534","17","36","73","1.2148308753967283","0.930037796497345","0.39646777510643005","0.004591004457324743","0.9954264163970948","0.005650380626320839","0.9943733215332032","","","","","","","","0.8063076465337697","13","28","","","","","","","","","","","","","","0.7595489268825028","","","","","",""
"18_SWP8_ID_123_MOD","378","-","NEW_GRAD_OUTPUT, SWP8, modded","5h9ktcvk","finished","ricu","","","2023-12-29T20:32:09.000Z","2023-12-29T20:38:27.000Z","2023-12-29T20:38:27.000Z","","drax","","","","2","NVIDIA A40","0","25","0.16","0.00006","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_08_modded/run_123","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_1057","128","32","false","all","18_sweeps","1","","mrpc","","64","","false","0.1","0.01","true","0.6991525423728814","0.0001969665609067306","[0.0001969631703104824,0.0001969699515029788]","0.7006480558325024","63","128","0.612280547618866","13","28","113","2.059528350830078","0.9842246770858764","0.4769534468650818","0.000369784131180495","0.999630331993103","0.0005585849867202342","0.999441623687744","","","","","","","","0.8078092494799167","59","120","","","","","","","","","","","","","","0.8063532809241136","","","","","",""
"18_SWP8_ID_122_MOD","195","-","NEW_GRAD_OUTPUT, SWP8, modded","iauqb23b","finished","ricu","","","2023-12-29T20:28:40.000Z","2023-12-29T20:31:55.000Z","2023-12-29T20:31:55.000Z","","drax","","","","2","NVIDIA A40","0","25","0.16","0.00006","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_08_modded/run_122","1","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_1056","128","32","false","all","18_sweeps","3","","mrpc","","64","","false","0.1","0.01","true","0.6717347956131605","0.0003213295713067055","[0.0003213266609236598,0.00032133248168975115]","0.6886839481555334","9","20","0.6096541285514832","9","20","59","2.1571226119995117","0.9903820753097534","0.4854138791561126","0.0005357447080314159","0.9994644522666932","0.0008442634134553373","0.9991561770439148","","","","","","","","0.8116990803557969","9","20","","","","","","","","","","","","","","0.7975403535741737","","","","","",""
"18_SWP8_ID_104_MOD","268","-","NEW_GRAD_INPUT, SWP8, modded","ed1v7aho","finished","ricu","","","2023-12-29T20:27:32.000Z","2023-12-29T20:32:00.000Z","2023-12-29T20:32:00.000Z","","drax","","","","2","NVIDIA A40","0","25","0.12","0.00002","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_08_modded/run_104","1","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_1050","128","32","false","all","18_sweeps","3","","mrpc","","64","","false","0.1","0.01","true","0.6679960119641076","0.00004249894482200034","{""_type"":""histogram"",""bins"":[3.851151859635138e-7,0.000005750753189204261,0.000011116391760879196,0.000016482030332554132,0.000021847667085239664,0.0000272133056569146,0.000032578944228589535,0.00003794458098127507,0.000043310221371939406,0.00004867585812462494,0.00005404149851528928,0.00005940713526797481,0.00006477277202066034,0.00007013841241132468,0.00007550405280198902,0.00008086968591669574,0.00008623532630736008,0.00009160096669802442,0.00009696659981273115,0.00010233224020339549,0.00010769788059405982,0.00011306351370876655,0.00011842915409943089,0.00012379478721413761,0.00012916042760480195,0.0001345260679954663,0.00013989170838613063,0.00014525734877679497,0.0001506229891674593,0.00015598861500620842,0.00016135425539687276,0.0001667198957875371,0.00017208553617820144],""values"":[65,59,63,41,77,56,49,40,41,37,31,33,32,24,21,17,15,13,10,7,12,8,4,3,4,0,1,3,0,0,1,1]}","0.6901794616151545","15","32","0.6031747460365295","17","36","67","1.4076663255691528","0.9671292304992676","0.44846391677856445","0.006114642135798931","0.9939188957214355","0.007852575741708279","0.9921985268592834","","","","","","","","0.8117522338331061","15","32","","","","","","","","","","","","","","0.7936802973977695","","","","","",""
"18_SWP8_ID_121_MOD","192","-","NEW_GRAD_OUTPUT, SWP8, modded","djrjdoik","finished","ricu","","","2023-12-29T20:25:14.000Z","2023-12-29T20:28:26.000Z","2023-12-29T20:28:26.000Z","","drax","","","","2","NVIDIA A40","0","25","0.16","0.00006","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_08_modded/run_121","1","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_1056","128","32","false","all","18_sweeps","2","","mrpc","","64","","false","0.1","0.01","true","0.5989531405782652","0.000404137943405658","[0.0004041358479298651,0.00040413998067379]","0.6754735792622134","7","16","0.6295374035835266","7","16","57","2.0806524753570557","0.9664367437362672","0.4500640332698822","0.0011544423177838326","0.9988464117050172","0.0014016119530424476","0.9985995292663574","","","","","","","","0.8063076465337697","7","16","","","","","","","","","","","","","","0.7144631765749778","","","","","",""
"18_SWP8_ID_103_MOD","252","-","NEW_GRAD_INPUT, SWP8, modded","47gelr8q","finished","ricu","","","2023-12-29T20:23:06.000Z","2023-12-29T20:27:18.000Z","2023-12-29T20:27:18.000Z","","drax","","","","2","NVIDIA A40","0","25","0.12","0.00002","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_08_modded/run_103","1","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_1050","128","32","false","all","18_sweeps","2","","mrpc","","64","","false","0.1","0.01","true","0.636839481555334","0.00003363755968166515","{""values"":[67,60,58,56,47,54,46,59,48,35,33,35,31,22,28,21,15,7,9,6,4,9,5,4,0,5,1,0,0,0,1,2],""_type"":""histogram"",""bins"":[4.49481021291831e-8,0.000004351849838712951,0.000008658751539769582,0.000012965653695573565,0.000017272555851377547,0.000021579457097686827,0.000025886358343996108,0.00003019326140929479,0.00003450016083661467,0.000038807065720902756,0.000043113966967212036,0.00004742086821352132,0.0000517277694598306,0.00005603467070613988,0.00006034157195244916,0.00006464847683673725,0.00006895537808304653,0.0000732622793293558,0.00007756918057566509,0.00008187608182197437,0.00008618298306828365,0.00009048988431459293,0.00009479678556090221,0.00009910368680721149,0.00010341058805352077,0.00010771748929983005,0.00011202439782209694,0.00011633129906840622,0.0001206382003147155,0.00012494510156102479,0.00012925200280733407,0.00013355890405364335,0.00013786580529995263]}","0.6754735792622134","11","24","0.6297013163566589","13","28","63","1.3052172660827637","0.9257038235664368","0.3911295533180237","0.0055287922732532024","0.9944890737533568","0.006426244042813778","0.9936000108718872","","","","","","","","0.8063076465337697","11","24","","","","","","","","","","","","","","0.7559872718137666","","","","","",""
