"Name","Runtime","Notes","Tags","ID","State","User","Group","Job Type","Created","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","catch_dropout","early_stopping_patience","insert_dropout","learning_rate","max_train_steps","num_train_epochs","num_warmup_steps","output_dir","dataset_seed","beta1","beta2","early_stopping_min_delta","evaluation_steps","gradient_accumulation_steps","ignore_mismatched_sizes","lr_scheduler_type","max_length","model_name_or_path","original_gradient_fraction","pad_to_max_length","param_config_id","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","run_generation","seed","task","task_name","train_data_frac","training_size","use_modded","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","accuracy","avg_grad_diff_all_classes","avg_grad_diff_per_class","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","epoch","eval_loss","eval_p_max","eval_p_var","train_st1_loss","train_st1_p_max","train_st2_loss","train_st2_p_max","accuracy.max","accuracy_mm","avg_eval_p_max","avg_eval_p_var","avg_train_p0","avg_train_p_max","avg_train_p_var","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","eval_loss.min","eval_loss_mm","eval_p_max_mm","eval_p_var_mm","f1","matthews_correlation","pearson","spearmanr","train_loss","train_p_max","train_p_var"
"18_SWP2_ID_29_MOD","1471","-","SWP2, modded","7mzl12zr","finished","ricu","","","2023-12-24T23:12:03.000Z","2023-12-24T23:36:34.000Z","2023-12-24T23:36:34.000Z","","drax","","","","2","NVIDIA A40","0","25","0.32","0.000008","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_02_modded/run_29","1","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0735","128","32","false","all","18_sweeps","3","","qnli","","64","","false","0.1","0.01","true","0.6104704374885594","0.00008658971637487411","{""_type"":""histogram"",""bins"":[1.4017770411101083e-7,0.000010847083103726618,0.000021553987608058378,0.00003226089393137954,0.0000429677966167219,0.00005367470294004306,0.00006438160926336423,0.00007508851558668539,0.00008579541463404894,0.0000965023209573701,0.00010720922728069127,0.00011791613360401243,0.0001286230399273336,0.00013932994625065476,0.00015003685257397592,0.00016074375889729708,0.00017145065066870302,0.00018215755699202418,0.00019286446331534535,0.0002035713696386665,0.00021427827596198767,0.00022498518228530884,0.00023569208860863,0.00024639899493195117,0.0002571058867033571,0.0002678128075785935,0.00027851969934999943,0.0002892266202252358,0.00029993351199664176,0.00031064043287187815,0.0003213473246432841,0.0003320542455185205,0.0003427611372899264],""values"":[58,63,50,56,66,62,48,33,45,32,38,33,26,28,23,24,14,12,10,8,8,10,6,3,5,1,2,1,0,1,0,2]}","0.615046677649643","163","328","0.7045802474021912","63","128","213","1.2835991382598877","0.9154308438301086","0.3745709359645843","0.007624805904924869","0.9924106597900392","0.007298688404262066","0.9927352070808412","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP2_ID_28_MOD","1650","-","SWP2, modded","t8tqcit0","finished","ricu","","","2023-12-24T22:44:12.000Z","2023-12-24T23:11:42.000Z","2023-12-24T23:11:42.000Z","","drax","","","","2","NVIDIA A40","0","25","0.32","0.000008","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_02_modded/run_28","1","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0735","128","32","false","all","18_sweeps","2","","qnli","","64","","false","0.1","0.01","true","0.7124290682775032","0.00015155706205405295","{""values"":[68,58,61,57,49,46,57,56,48,36,36,30,29,28,24,21,13,9,8,6,4,10,3,2,1,4,1,0,0,2,0,1],""_type"":""histogram"",""bins"":[1.0540277628479089e-7,0.00001977693864319008,0.00003944847412640229,0.0000591200114286039,0.00007879154873080552,0.00009846308239502832,0.00011813461605925113,0.00013780615699943155,0.00015747768338769674,0.00017714922432787716,0.00019682076526805758,0.00021649229165632278,0.0002361638325965032,0.0002558353589847684,0.0002755068999249488,0.00029517844086512923,0.00031484998180530965,0.0003345215227454901,0.00035419303458184004,0.00037386457552202046,0.0003935361164622009,0.0004132076574023813,0.0004328791983425617,0.00045255073928274214,0.0004722222511190921,0.0004918937920592725,0.0005115653621032834,0.0005312368739396334,0.0005509083857759833,0.0005705799558199942,0.0005902514676563442,0.000609923037700355,0.000629594549536705]}","0.7148087131612667","189","380","0.6169349551200867","45","92","239","0.915068507194519","0.9316366910934448","0.3946097195148468","0.007986250333487988","0.9920505881309508","0.011972364038228989","0.9881691932678224","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP2_ID_27_MOD","2155","-","SWP2, modded","0f3rn711","finished","ricu","","","2023-12-24T22:07:58.000Z","2023-12-24T22:43:53.000Z","2023-12-24T22:43:53.000Z","","drax","","","","2","NVIDIA A40","0","25","0.32","0.000008","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_02_modded/run_27","1","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0735","128","32","false","all","18_sweeps","1","","qnli","","64","","false","0.1","0.01","true","0.7045579352004393","0.00009887307533062994","{""values"":[62,68,57,64,60,50,57,47,48,37,41,32,23,16,22,22,17,7,10,6,5,7,2,3,0,2,0,1,0,1,0,1],""_type"":""histogram"",""bins"":[1.2700748186489363e-7,0.000013424125427263789,0.000026721243557403795,0.000040018363506533206,0.00005331548163667321,0.00006661259976681322,0.00007990971789695323,0.00009320683602709323,0.00010650395415723324,0.00011980107228737324,0.00013309819041751325,0.00014639530854765326,0.00015969242667779326,0.00017298954480793327,0.00018628666293807328,0.00019958378106821328,0.0002128808991983533,0.0002261780173284933,0.0002394751354586333,0.0002527722390368581,0.0002660693717189133,0.0002793664752971381,0.00029266360797919333,0.0003059607115574181,0.00031925784423947334,0.0003325549478176981,0.00034585208049975336,0.00035914918407797813,0.00037244631676003337,0.00038574342033825815,0.0003990405530203134,0.00041233765659853816,0.0004256347892805934]}","0.7054731832326561","263","528","0.6105592846870422","39","80","313","1.2325116395950315","0.9725471138954164","0.45531147718429565","0.005632409825921059","0.9943843483924866","0.008985904045403004","0.9910798668861388","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP2_ID_26_MOD","1104","-","SWP2, modded","sodludkw","finished","ricu","","","2023-12-24T21:49:13.000Z","2023-12-24T22:07:37.000Z","2023-12-24T22:07:37.000Z","","drax","","","","2","NVIDIA A40","0","25","0.32","0.00001","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_02_modded/run_26","1","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0734","128","32","false","all","18_sweeps","3","","qnli","","64","","false","0.1","0.01","true","0.6183415705656233","0.0000924032647162676","{""_type"":""histogram"",""bins"":[1.7057233492323576e-7,0.000011614213690336328,0.00002305785528733395,0.00003450149597483687,0.0000459451403003186,0.00005738878098782152,0.00006883242167532444,0.00008027606236282736,0.00009171970305033028,0.00010316335101379082,0.00011460699170129374,0.00012605062511283904,0.0001374942803522572,0.0001489379210397601,0.00016038156172726303,0.00017182520241476595,0.00018326884310226887,0.0001947124837897718,0.00020615612447727472,0.00021759976516477764,0.00022904340585228056,0.00024048704653978348,0.0002519307017792016,0.0002633743279147893,0.00027481798315420747,0.00028626160928979516,0.0002977052645292133,0.000309148890664801,0.00032059254590421915,0.00033203617203980684,0.000343479827279225,0.0003549234534148127,0.00036636710865423083],""values"":[59,62,51,56,66,61,50,31,45,33,37,34,26,27,23,23,16,12,10,7,9,10,6,2,5,1,3,0,0,1,1,1]}","0.6188907193849533","109","220","0.701036810874939","61","124","159","1.2352126836776731","0.910670518875122","0.3681465983390808","0.007992299273610115","0.9920458793640136","0.007747141644358635","0.992290496826172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP2_ID_25_MOD","2574","-","SWP2, modded","kfdswzbt","finished","ricu","","","2023-12-24T21:05:58.000Z","2023-12-24T21:48:52.000Z","2023-12-24T21:48:52.000Z","","drax","","","","2","NVIDIA A40","0","25","0.32","0.00001","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_02_modded/run_25","1","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0734","128","32","false","all","18_sweeps","2","","qnli","","64","","false","0.1","0.01","true","0.7182866556836903","0.000059505262470338494","{""_type"":""histogram"",""values"":[64,64,57,56,52,47,58,54,49,36,37,28,28,27,26,19,15,9,8,6,4,10,3,3,0,4,1,0,0,2,0,1],""bins"":[1.005109737661769e-7,0.000007818818630767055,0.00001553712718305178,0.000023255435735336505,0.00003097374428762123,0.00003869205102091655,0.00004641035775421187,0.000054128668125486,0.00006184697849676013,0.00006956528523005545,0.00007728359196335077,0.0000850018986966461,0.00009272020542994142,0.00010043851943919435,0.00010815682617248967,0.000115875132905785,0.00012359344691503793,0.00013131175364833325,0.00013903006038162857,0.0001467483671149239,0.00015446667384821922,0.00016218498058151454,0.00016990328731480986,0.00017762159404810518,0.0001853399007814005,0.00019305820751469582,0.00020077651424799114,0.0002084948355332017,0.00021621314226649702,0.00022393144899979234,0.00023164975573308766,0.00023936806246638298,0.0002470863691996783]}","0.718652754896577","323","648","0.6139024496078491","41","84","373","1.042493462562561","0.9483877420425416","0.4207888841629028","0.0036201304756104946","0.9963876008987428","0.004826986696571112","0.995194673538208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP2_ID_24_MOD","2536","-","SWP2, modded","7ehds7ok","finished","ricu","","","2023-12-24T20:23:22.000Z","2023-12-24T21:05:38.000Z","2023-12-24T21:05:38.000Z","","drax","","","","2","NVIDIA A40","0","25","0.32","0.00001","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_02_modded/run_24","1","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0734","128","32","false","all","18_sweeps","1","","qnli","","64","","false","0.1","0.01","true","0.704374885593996","0.00005800511280540377","{""_type"":""histogram"",""bins"":[9.644563903066228e-8,0.000007895431735960301,0.000015694418834755197,0.00002349340502405539,0.000031292391213355586,0.00003909137740265578,0.000046890363591955975,0.00005468934978125617,0.00006248833960853517,0.00007028732215985656,0.00007808631198713556,0.00008588529453845695,0.00009368428436573595,0.00010148326691705734,0.00010928225674433634,0.00011708123929565772,0.00012488022912293673,0.0001326792116742581,0.0001404781942255795,0.00014827719132881612,0.0001560761738801375,0.0001638751564314589,0.00017167413898278028,0.0001794731360860169,0.00018727211863733828,0.00019507110118865967,0.00020287008373998106,0.00021066908084321767,0.00021846806339453906,0.00022626704594586045,0.00023406602849718183,0.00024186502560041845,0.00024966400815173984],""values"":[63,65,57,66,60,52,55,48,46,35,46,31,22,16,22,23,15,8,10,6,5,7,3,2,0,2,0,1,0,1,0,1]}","0.7054731832326561","317","636","0.6099461317062378","31","64","367","1.3445922136306765","0.9776769280433656","0.4641904532909394","0.003324531950056553","0.9966813921928406","0.005265864543616772","0.9947514533996582","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP2_ID_23_MOD","862","-","SWP2, modded","dtokogbj","finished","ricu","","","2023-12-24T20:08:40.000Z","2023-12-24T20:23:02.000Z","2023-12-24T20:23:02.000Z","","drax","","","","2","NVIDIA A40","0","25","0.32","0.00002","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_02_modded/run_23","1","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0733","128","32","false","all","18_sweeps","3","","qnli","","64","","false","0.1","0.01","true","0.600219659527732","0.000037772995710838586","{""_type"":""histogram"",""bins"":[1.2380681368995283e-7,0.000004800791430170648,0.000009477776075073052,0.000014154760719975457,0.000018831746274372563,0.000023508730009780265,0.00002818571556417737,0.000032862699299585074,0.00003753968485398218,0.000042216670408379287,0.000046893652324797586,0.00005157063787919469,0.0000562476234335918,0.000060924608987988904,0.0000656015909044072,0.00007027857645880431,0.00007495556201320142,0.00007963254756759852,0.00008430953312199563,0.00008898651867639273,0.00009366349695483223,0.00009834048250922933,0.00010301746806362644,0.00010769445361802354,0.00011237143917242065,0.00011704842472681776,0.00012172541028121486,0.00012640238855965436,0.00013107937411405146,0.00013575635966844857,0.00014043334522284567,0.00014511033077724278,0.00014978731633163989],""values"":[60,60,54,56,64,61,48,34,45,32,39,32,24,30,24,21,18,11,9,7,9,10,6,2,5,1,3,0,0,1,1,1]}","0.604429800475929","73","148","0.7047362327575684","31","64","123","1.6019104719161987","0.93702894449234","0.40644875168800354","0.0026595036033540964","0.9973449110984802","0.003022940596565604","0.996983289718628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP2_ID_22_MOD","1956","-","SWP2, modded","w35bt4u2","finished","ricu","","","2023-12-24T19:35:44.000Z","2023-12-24T20:08:20.000Z","2023-12-24T20:08:20.000Z","","drax","","","","2","NVIDIA A40","0","25","0.32","0.00002","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_02_modded/run_22","1","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0733","128","32","false","all","18_sweeps","2","","qnli","","64","","false","0.1","0.01","true","0.7195680029287937","0.000025332341465400532","{""values"":[65,61,53,58,57,45,58,53,51,36,39,25,28,32,21,21,18,6,7,5,6,10,2,3,0,4,1,0,1,1,0,1],""bins"":[2.0961401503427624e-8,0.0000033087203519244213,0.000006596479579457082,0.000009884238352242392,0.000013171997125027701,0.000016459756807307713,0.00001974751467059832,0.000023035274352878332,0.000026323034035158344,0.00002961079189844895,0.00003289855158072896,0.00003618630944401957,0.000039474070945288986,0.000042761828808579594,0.0000460495866718702,0.00004933734817313962,0.000052625106036430225,0.00005591286389972083,0.00005920062540099025,0.00006248838326428086,0.00006577614112757146,0.00006906389899086207,0.00007235165685415268,0.0000756394219934009,0.00007892717985669151,0.00008221493771998212,0.00008550269558327273,0.00008879045344656333,0.00009207821130985394,0.00009536597644910216,0.00009865373431239277,0.00010194149217568338,0.00010522925003897399],""_type"":""histogram""}","0.7206663005674537","231","464","0.6262871623039246","27","56","281","1.2183042764663696","0.9642163515090942","0.4450134038925171","0.0016649190802127125","0.998336672782898","0.002261931076645851","0.997741162776947","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP2_ID_21_MOD","2025","-","SWP2, modded","ybd5xgr7","finished","ricu","","","2023-12-24T19:01:40.000Z","2023-12-24T19:35:25.000Z","2023-12-24T19:35:25.000Z","","drax","","","","2","NVIDIA A40","0","25","0.32","0.00002","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_02_modded/run_21","1","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0733","128","32","false","all","18_sweeps","1","","qnli","","64","","false","0.1","0.01","true","0.7040087863811093","0.00002899944593082182","{""bins"":[6.484997072675469e-8,0.000003963547897001263,0.00000786224609328201,0.000011760944289562758,0.000015659641576348804,0.00001955833977262955,0.0000234570379689103,0.000027355736165191047,0.00003125443254248239,0.00003515313073876314,0.000039051828935043886,0.000042950527131324634,0.00004684922532760538,0.00005074792352388613,0.00005464662172016688,0.000058545319916447625,0.00006244401447474957,0.00006634271267103031,0.00007024141086731106,0.00007414010906359181,0.00007803880725987256,0.0000819375054561533,0.00008583620365243405,0.0000897349018487148,0.00009363360004499555,0.0000975322982412763,0.00010143099643755704,0.00010532969463383779,0.00010922839283011854,0.00011312709102639928,0.00011702578922268003,0.00012092448741896078,0.00012482318561524153],""values"":[59,69,57,62,68,46,58,46,47,41,39,32,22,17,22,24,13,9,8,7,6,7,2,2,0,2,0,1,0,1,0,1],""_type"":""histogram""}","0.7047409848068826","239","480","0.6027827858924866","25","52","289","1.557700276374817","0.9843584299087524","0.47535616159439087","0.0013287125620990992","0.9986722469329834","0.002444600686430931","0.9975593090057372","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP2_ID_20_MOD","603","-","SWP2, modded","903gpgiv","finished","ricu","","","2023-12-24T18:51:16.000Z","2023-12-24T19:01:19.000Z","2023-12-24T19:01:19.000Z","","drax","","","","2","NVIDIA A40","0","25","0.32","0.00004","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_02_modded/run_20","1","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0732","128","32","false","all","18_sweeps","3","","qnli","","64","","false","0.1","0.01","true","0.5680029287937031","0.000018976401406689547","{""_type"":""histogram"",""bins"":[4.4921517172724634e-8,0.0000023981440335774096,0.000004751366304844851,0.000007104589258233318,0.000009457811756874435,0.0000118110338007682,0.000014164256754156668,0.000016517478798050433,0.0000188707017514389,0.000021223924704827368,0.000023577145839226432,0.0000259303687926149,0.000028283591746003367,0.00003063681288040243,0.0000329900358337909,0.000035343258787179366,0.00003769648174056783,0.0000400497046939563,0.00004240292764734477,0.000044756150600733235,0.000047109369916142896,0.00004946259286953136,0.00005181581582291983,0.0000541690387763083,0.000056522261729696766,0.00005887548468308523,0.0000612287039984949,0.00006358193058986217,0.00006593514990527183,0.0000682883764966391,0.00007064159581204876,0.00007299482240341604,0.0000753480417188257],""values"":[61,55,59,56,61,63,46,37,44,32,37,36,23,29,24,21,18,11,12,4,8,12,5,2,5,2,2,0,0,1,1,1]}","0.5789859051803039","35","72","0.6935734748840332","21","44","85","2.1313674449920654","0.9564541578292848","0.4358574151992798","0.0012070797383785248","0.99879390001297","0.0015038701239973309","0.9984976053237916","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
