"Name","Runtime","Notes","Tags","State","ID","User","Group","Job Type","Created","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","insert_dropout","param_config_id","seed","beta1","beta2","catch_dropout","dataset_seed","early_stopping_min_delta","early_stopping_patience","evaluation_steps","gradient_accumulation_steps","ignore_mismatched_sizes","learning_rate","lr_scheduler_type","max_length","max_train_steps","model_name_or_path","no_checkpointing","num_train_epochs","num_warmup_steps","original_gradient_fraction","output_dir","pad_to_max_length","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","run_generation","task","task_name","train_data_frac","training_size","use_modded","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","accuracy","eval_loss","eval_p_max","eval_p_var","accuracy.max","accuracy_mm","avg_eval_p_max","avg_eval_p_var","avg_grad_diff_all_classes","avg_grad_diff_per_class","avg_train_p0","avg_train_p_max","avg_train_p_var","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","epoch","eval_loss.min","eval_loss_mm","eval_p_max_mm","eval_p_var_mm","f1","matthews_correlation","pearson","spearmanr","test_accuracy","train_loss","train_p_max","train_p_var","train_st1_loss","train_st1_p_max","train_st2_loss","train_st2_p_max","vector_norms","test_accuracy_best_accuracy","test_accuracy_best_eval_loss"
"18_SWP8_ID_269_MOD","354","-","NEW_GRAD_OUTPUT, SWP8, modded","finished","sz7nhms1","ricu","","","2023-12-30T08:45:27.000Z","2023-12-30T08:51:21.000Z","2023-12-30T08:51:21.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1105","3","0.9","0.999","0","2","0","25","4","1","false","0.000008","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_08_modded/run_269","false","128","32","false","all","18_sweeps","","mrpc","","64","","false","0.1","0.01","true","0.6772183449651047","0.9173693656921388","0.9352011680603028","0.379732221364975","","","","","0.15858107805252075","[0.15858107805252075,0.15858106315135956]","","","","0.6794616151545364","55","112","0.6182799935340881","37","76","0.8081169800059683","55","112","","","","","","","","","","105","","","","","0.8070907194994786","","","","","","","","0.241840198636055","0.897963285446167","0.09383077174425124","0.9245553016662598","{""_type"":""histogram"",""bins"":[0.00003923346594092436,0.03955677151679993,0.07907430827617645,0.11859184503555298,0.1581093817949295,0.19762691855430603,0.23714445531368256,0.2766619920730591,0.3161795139312744,0.35569706559181213,0.39521458745002747,0.4347321391105652,0.4742496609687805,0.5137671828269958,0.553284764289856,0.5928022861480713,0.6323198080062866,0.671837329864502,0.7113549113273621,0.7508724331855774,0.7903899550437927,0.8299074769020081,0.8694250583648682,0.9089425802230835,0.9484601020812988,0.9879776239395142,1.0274951457977295,1.0670126676559448,1.1065303087234497,1.146047830581665,1.1855653524398804,1.2250828742980957,1.264600396156311],""values"":[31,30,17,11,3,7,5,3,2,0,1,0,0,0,0,0,0,0,1,2,3,1,1,1,0,0,1,0,3,1,2,2]}","",""
"18_SWP8_ID_268_MOD","293","-","NEW_GRAD_OUTPUT, SWP8, modded","finished","jzgkf5b0","ricu","","","2023-12-30T08:40:18.000Z","2023-12-30T08:45:11.000Z","2023-12-30T08:45:11.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1105","2","0.9","0.999","0","2","0","25","4","1","false","0.000008","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_08_modded/run_268","false","128","32","false","all","18_sweeps","","mrpc","","64","","false","0.1","0.01","true","0.6630109670987039","1.1461917161941528","0.9443357586860656","0.4098447561264038","","","","","0.015436884015798569","[0.015436885878443718,0.01543688215315342]","","","","0.6774675972083749","39","80","0.6325222253799438","21","44","0.8063076465337697","35","72","","","","","","","","","","89","","","","","0.7924470371507523","","","","","","","","0.02892376109957695","0.9716688394546508","0.03060055151581764","0.970022201538086","{""bins"":[0.00013228316674940288,0.004267971497029066,0.008403659798204899,0.012539347633719444,0.016675036400556564,0.020810723304748535,0.024946412071585655,0.029082100838422775,0.033217787742614746,0.03735347464680672,0.041489165276288986,0.04562485218048096,0.04976053908467293,0.0538962297141552,0.05803191661834717,0.06216760352253914,0.06630329042673111,0.07043898105621338,0.07457467168569565,0.07871035486459732,0.08284604549407959,0.08698173612356186,0.09111741930246353,0.0952531099319458,0.09938880056142807,0.10352448374032974,0.10766017436981201,0.11179586499929428,0.11593154817819595,0.12006723880767822,0.12420292943716049,0.12833862006664276,0.13247430324554443],""values"":[21,15,22,8,14,11,3,4,2,7,6,6,1,1,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1],""_type"":""histogram""}","",""
"18_SWP8_ID_267_MOD","639","-","NEW_GRAD_OUTPUT, SWP8, modded","finished","k4jhyok1","ricu","","","2023-12-30T08:29:24.000Z","2023-12-30T08:40:03.000Z","2023-12-30T08:40:03.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1105","1","0.9","0.999","0","2","0","25","4","1","false","0.000008","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_08_modded/run_267","false","128","32","false","all","18_sweeps","","mrpc","","64","","false","0.1","0.01","true","0.673728813559322","1.0751854181289673","0.9321141242980956","0.3927449584007263","","","","","0.03890593722462654","[0.03890593349933624,0.03890594094991684]","","","","0.6772183449651047","145","292","0.6316671371459961","37","76","0.8063076465337697","31","64","","","","","","","","","","195","","","","","0.8001221560543595","","","","","","","","0.039232395589351654","0.9624625444412231","0.04525892436504364","0.9570266008377076","{""values"":[30,35,17,12,8,4,2,5,0,2,5,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1],""_type"":""histogram"",""bins"":[0.0005317114409990609,0.015435424633324146,0.030339136719703674,0.04524284973740578,0.06014656275510788,0.07505027204751968,0.08995398879051208,0.10485769808292389,0.11976141482591629,0.1346651315689087,0.1495688408613205,0.1644725501537323,0.1793762594461441,0.1942799836397171,0.2091836929321289,0.2240874022245407,0.23899111151695251,0.2538948357105255,0.2687985301017761,0.2837022542953491,0.2986059784889221,0.31350967288017273,0.3284133970737457,0.34331709146499634,0.35822081565856934,0.37312453985214233,0.38802823424339294,0.40293195843696594,0.41783568263053894,0.43273937702178955,0.44764310121536255,0.46254679560661316,0.47745051980018616]}","",""
"18_SWP8_ID_266_MOD","309","-","NEW_GRAD_OUTPUT, SWP8, modded","finished","t0canx1l","ricu","","","2023-12-30T08:24:01.000Z","2023-12-30T08:29:10.000Z","2023-12-30T08:29:10.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1104","3","0.9","0.999","0","1","0","25","4","1","false","0.000008","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_08_modded/run_266","false","128","32","false","all","18_sweeps","","mrpc","","64","","false","0.1","0.01","true","0.6782153539381854","0.8227413892745972","0.9046643376350404","0.3304023742675781","","","","","0.0939260870218277","[0.0939260870218277,0.0939260870218277]","","","","0.6802093718843469","43","88","0.6166688799858093","33","68","0.8082498879091317","43","88","","","","","","","","","","93","","","","","0.807054251980272","","","","","","","","0.15142850577831268","0.8982714414596558","0.09599056839942932","0.911668062210083","{""_type"":""histogram"",""bins"":[0.00014362591900862753,0.03422331064939499,0.06830299645662308,0.10238268226385117,0.13646237552165985,0.17054206132888794,0.20462174713611603,0.23870143294334412,0.272781103849411,0.3068608045578003,0.3409405052661896,0.37502017617225647,0.40909987688064575,0.44317954778671265,0.47725924849510193,0.5113389492034912,0.5454186201095581,0.579498291015625,0.6135779619216919,0.6476576924324036,0.6817373633384705,0.7158170342445374,0.7498967051506042,0.7839764356613159,0.8180561065673828,0.8521357774734497,0.8862154483795166,0.9202951788902283,0.9543748497962952,0.9884545207023621,1.0225342512130737,1.0566139221191406,1.0906935930252075],""values"":[43,28,15,10,7,5,4,3,1,1,0,1,1,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,4]}","",""
"18_SWP8_ID_265_MOD","255","-","NEW_GRAD_OUTPUT, SWP8, modded","finished","uqtvg0oy","ricu","","","2023-12-30T08:19:30.000Z","2023-12-30T08:23:45.000Z","2023-12-30T08:23:45.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1104","2","0.9","0.999","0","1","0","25","4","1","false","0.000008","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_08_modded/run_265","false","128","32","false","all","18_sweeps","","mrpc","","64","","false","0.1","0.01","true","0.6652542372881356","1.080433011054993","0.9383574724197388","0.394675612449646","","","","","0.01738954894244671","[0.01738954707980156,0.01738954894244671]","","","","0.6757228315054835","29","60","0.6323407888412476","23","48","0.8064276149382532","29","60","","","","","","","","","","79","","","","","0.7971605497658965","","","","","","","","0.032640378922224045","0.9680328369140624","0.027477050200104713","0.9730286598205566","{""_type"":""histogram"",""bins"":[0.000272821809630841,0.005494530778378248,0.010716238990426064,0.01593794859945774,0.02115965634584427,0.026381365954875946,0.03160307556390762,0.0368247851729393,0.04204649105668068,0.04726820066571236,0.052489910274744034,0.05771161988377571,0.06293332576751709,0.06815503537654877,0.07337674498558044,0.07859845459461212,0.0838201642036438,0.08904187381267548,0.09426358342170715,0.09948528558015823,0.10470699518918991,0.10992870479822159,0.11515041440725327,0.12037212401628494,0.12559382617473602,0.1308155357837677,0.13603724539279938,0.14125895500183105,0.14648066461086273,0.1517023742198944,0.1569240838289261,0.16214579343795776,0.16736750304698944],""values"":[23,18,12,20,9,14,8,5,2,2,7,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1]}","",""
"18_SWP8_ID_264_MOD","291","-","NEW_GRAD_OUTPUT, SWP8, modded","finished","knng0mcr","ricu","","","2023-12-30T08:14:25.000Z","2023-12-30T08:19:16.000Z","2023-12-30T08:19:16.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1104","1","0.9","0.999","0","1","0","25","4","1","false","0.000008","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_08_modded/run_264","false","128","32","false","all","18_sweeps","","mrpc","","64","","false","0.1","0.01","true","0.5378863409770688","0.7627347707748413","0.6817669868469238","0.09707459062337875","","","","","0.07771265506744385","[0.07771265506744385,0.07771265506744385]","","","","0.6764705882352942","37","76","0.6334534883499146","33","68","0.8063076465337697","31","64","","","","","","","","","","87","","","","","0.627710843373494","","","","","","","","0.1708618849515915","0.8496420383453369","0.16289855539798737","0.876829206943512","{""bins"":[0.000694379850756377,0.018995879217982292,0.03729737550020218,0.05559887737035751,0.07390037178993225,0.09220187366008759,0.11050336807966232,0.12880487740039825,0.1471063643693924,0.16540786623954773,0.18370936810970306,0.2020108699798584,0.22031235694885254,0.23861385881900787,0.2569153606891632,0.27521684765815735,0.2935183644294739,0.311819851398468,0.33012136816978455,0.3484228551387787,0.3667243421077728,0.38502585887908936,0.4033273458480835,0.42162883281707764,0.43993034958839417,0.4582318365573883,0.47653335332870483,0.494834840297699,0.5131363272666931,0.5314378142356873,0.5497393608093262,0.5680408477783203,0.5863423347473145],""values"":[22,16,11,11,10,10,11,6,7,2,2,3,3,1,5,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,1],""_type"":""histogram""}","",""
"18_SWP8_ID_263_MOD","324","-","NEW_GRAD_OUTPUT, SWP8, modded","finished","vhfod487","ricu","","","2023-12-30T08:08:46.000Z","2023-12-30T08:14:10.000Z","2023-12-30T08:14:10.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1103","3","0.9","0.999","0","2","0","25","4","1","false","0.00001","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_08_modded/run_263","false","128","32","false","all","18_sweeps","","mrpc","","64","","false","0.1","0.01","true","0.6772183449651047","1.0054773092269895","0.9524298906326294","0.4104163348674774","","","","","0.10864464938640594","[0.10864464193582536,0.10864464938640594]","","","","0.6802093718843469","37","76","0.6185286641120911","27","56","0.8083009853687668","47","96","","","","","","","","","","97","","","","","0.8070907194994786","","","","","","","","0.14304524660110474","0.9334673285484314","0.07650911062955856","0.9382917284965516","{""_type"":""histogram"",""bins"":[0.0012451917864382267,0.04029862955212593,0.07935206592082977,0.11840550601482391,0.15745894610881805,0.1965123862028122,0.23556582629680634,0.2746192514896393,0.3136726915836334,0.35272613167762756,0.3917795717716217,0.43083301186561584,0.46988645195961,0.5089399218559265,0.5479933023452759,0.58704674243927,0.6261001825332642,0.6651536226272583,0.7042070627212524,0.7432605028152466,0.7823139429092407,0.8213673830032349,0.860420823097229,0.8994742631912231,0.9385277032852173,0.9775811433792114,1.0166345834732056,1.0556880235671997,1.0947414636611938,1.133794903755188,1.1728483438491821,1.2119017839431763,1.2509552240371704],""values"":[50,25,20,3,6,5,2,2,3,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,1,0,0,2]}","",""
"18_SWP8_ID_262_MOD","276","-","NEW_GRAD_OUTPUT, SWP8, modded","finished","gqvlrv6f","ricu","","","2023-12-30T08:03:55.000Z","2023-12-30T08:08:31.000Z","2023-12-30T08:08:31.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1103","2","0.9","0.999","0","2","0","25","4","1","false","0.00001","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_08_modded/run_262","false","128","32","false","all","18_sweeps","","mrpc","","64","","false","0.1","0.01","true","0.6655034895314058","1.2437585592269895","0.9570154547691344","0.4301782548427582","","","","","0.012423889711499214","[0.01242388878017664,0.012423889711499214]","","","","0.6769690927218345","33","68","0.6324781775474548","19","40","0.8063699955350497","31","64","","","","","","","","","","83","","","","","0.7942348972707758","","","","","","","","0.02022126317024231","0.9800360202789308","0.024357732385396957","0.9761325120925904","{""_type"":""histogram"",""bins"":[0.00008540532144252211,0.0039334590546786785,0.007781513035297394,0.011629566550254822,0.01547762006521225,0.019325673580169678,0.023173727095127106,0.027021782472729683,0.03086983598768711,0.03471788763999939,0.03856594115495682,0.042413998395204544,0.04626205191016197,0.0501101054251194,0.05395815894007683,0.057806212455034256,0.061654265969991684,0.06550231575965881,0.06935037672519684,0.07319843024015427,0.0770464837551117,0.08089453727006912,0.08474259078502655,0.08859064429998398,0.0924386978149414,0.09628675132989883,0.10013480484485626,0.10398285835981369,0.10783091187477112,0.11167896538972855,0.11552701890468597,0.1193750724196434,0.12322312593460083],""values"":[23,25,18,14,10,5,10,4,2,3,2,2,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1]}","",""
"18_SWP8_ID_261_MOD","361","-","NEW_GRAD_OUTPUT, SWP8, modded","finished","u260s2oi","ricu","","","2023-12-30T07:57:41.000Z","2023-12-30T08:03:42.000Z","2023-12-30T08:03:42.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1103","1","0.9","0.999","0","2","0","25","4","1","false","0.00001","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_08_modded/run_261","false","128","32","false","all","18_sweeps","","mrpc","","64","","false","0.1","0.01","true","0.6754735792622134","1.06282639503479","0.9308800101280212","0.3895781338214874","","","","","0.04698752611875534","[0.04698752611875534,0.04698752611875534]","","","","0.6764705882352942","59","120","0.6299652457237244","35","72","0.8064276149382532","31","64","","","","","","","","","","109","","","","","0.8023079259034315","","","","","","","","0.0469990000128746","0.9554502367973328","0.05515998974442482","0.9545148015022278","{""values"":[61,29,13,9,4,2,2,3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.0002595100086182356,0.0306091271340847,0.06095874309539795,0.0913083553314209,0.12165797501802444,0.152007594704628,0.18235720694065094,0.2127068191766739,0.24305644631385803,0.273406058549881,0.30375567078590393,0.3341052830219269,0.36445489525794983,0.3948045074939728,0.4251541495323181,0.45550376176834106,0.485853374004364,0.516202986240387,0.5465525984764099,0.5769022107124329,0.6072518229484558,0.6376014351844788,0.6679510474205017,0.6983006596565247,0.7286502718925476,0.7589999437332153,0.7893495559692383,0.8196991682052612,0.8500487804412842,0.8803983926773071,0.9107480049133301,0.941097617149353,0.971447229385376]}","",""
"18_SWP8_ID_260_MOD","286","-","NEW_GRAD_OUTPUT, SWP8, modded","finished","lxr77asi","ricu","","","2023-12-30T07:52:40.000Z","2023-12-30T07:57:26.000Z","2023-12-30T07:57:26.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1102","3","0.9","0.999","0","1","0","25","4","1","false","0.00001","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_08_modded/run_260","false","128","32","false","all","18_sweeps","","mrpc","","64","","false","0.1","0.01","true","0.6772183449651047","0.9149808883666992","0.9326732158660888","0.3768670856952667","","","","","0.08490127325057983","[0.08490127325057983,0.08490127325057983]","","","","0.6802093718843469","37","76","0.6159283518791199","31","64","0.8083071866128791","37","76","","","","","","","","","","87","","","","","0.806802924063852","","","","","","","","0.13399475812911987","0.9190537929534912","0.06063443422317505","0.9425879716873168","{""_type"":""histogram"",""bins"":[0.000977740972302854,0.036542635411024094,0.07210753113031387,0.10767243057489395,0.14323732256889343,0.1788022220134735,0.2143671214580536,0.24993202090263367,0.28549692034721375,0.3210618197917938,0.3566266894340515,0.3921915888786316,0.42775648832321167,0.46332138776779175,0.4988862872123718,0.5344511866569519,0.570016086101532,0.6055809855461121,0.6411458849906921,0.6767107844352722,0.7122756838798523,0.7478405833244324,0.7834054827690125,0.8189703226089478,0.8545352220535278,0.8901001214981079,0.925665020942688,0.9612299203872681,0.9967948198318481,1.0323597192764282,1.0679246187210083,1.1034895181655884,1.1390544176101685],""values"":[63,22,12,9,1,3,3,3,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2]}","",""
