"Name","Runtime","Notes","Tags","ID","State","User","Group","Job Type","Created","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","insert_dropout","learning_rate","param_config_id","seed","beta1","beta2","catch_dropout","dataset_seed","early_stopping_min_delta","early_stopping_patience","evaluation_steps","gradient_accumulation_steps","ignore_mismatched_sizes","lr_scheduler_type","max_length","max_train_steps","model_name_or_path","no_checkpointing","num_train_epochs","num_warmup_steps","original_gradient_fraction","output_dir","pad_to_max_length","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","run_generation","task","task_name","train_data_frac","training_size","use_modded","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","accuracy","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","epoch","eval_loss","eval_p_max","eval_p_var","train_st2_loss","train_st2_p_max","accuracy.max","accuracy_mm","avg_eval_p_max","avg_eval_p_var","avg_grad_diff_all_classes","avg_grad_diff_per_class","avg_train_p0","avg_train_p_max","avg_train_p_var","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","eval_loss.min","eval_loss_mm","eval_p_max_mm","eval_p_var_mm","f1","matthews_correlation","pearson","spearmanr","test_accuracy","train_loss","train_p_max","train_p_var","train_st1_loss","train_st1_p_max","vector_norms"
"19_S1_ID_134_VAN","237","-","NEW_GRAD_OUTPUT, SWP1, vanilla","km2jmkg5","finished","ricu","","","2024-01-04T09:24:31.000Z","2024-01-04T09:28:28.000Z","2024-01-04T09:28:28.000Z","","drax","","","","2","NVIDIA A40","0.32","0.000008","pcid_1412","3","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_134","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.6926597107816218","0.7069375800842028","9","320","0.6163914203643799","5","192","14","0.706211507320404","0.8603652119636536","0.27472054958343506","0.38935258984565735","0.8129769563674927","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19_S1_ID_133_VAN","282","-","NEW_GRAD_OUTPUT, SWP1, vanilla","fk9znim6","finished","ricu","","","2024-01-04T09:19:28.000Z","2024-01-04T09:24:10.000Z","2024-01-04T09:24:10.000Z","","drax","","","","2","NVIDIA A40","0.32","0.000008","pcid_1412","2","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_133","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.7184697052901337","0.7246933919092073","12","416","0.5761839151382446","9","320","17","0.6341810822486877","0.8619058132171631","0.2807488441467285","0.37881675362586975","0.8270881175994873","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19_S1_ID_132_VAN","340","-","NEW_GRAD_OUTPUT, SWP1, vanilla","0d2ir7zg","finished","ricu","","","2024-01-04T09:13:26.000Z","2024-01-04T09:19:06.000Z","2024-01-04T09:19:06.000Z","","drax","","","","2","NVIDIA A40","0.32","0.000008","pcid_1412","1","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_132","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.7195680029287937","0.7327475745927147","16","544","0.5571943521499634","6","224","21","0.6616187691688538","0.8928831219673157","0.3256501257419586","0.2677725553512573","0.8694424033164978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19_S1_ID_131_VAN","177","-","NEW_GRAD_OUTPUT, SWP1, vanilla","dzwq12gp","finished","ricu","","","2024-01-04T09:10:07.000Z","2024-01-04T09:13:04.000Z","2024-01-04T09:13:04.000Z","","drax","","","","2","NVIDIA A40","0.32","0.00001","pcid_1411","3","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_131","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.6824089328207944","0.704374885593996","5","192","0.5951788425445557","5","192","10","0.7406358122825623","0.8594924807548523","0.27557748556137085","0.39663806557655334","0.8018871545791626","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19_S1_ID_130_VAN","282","-","NEW_GRAD_OUTPUT, SWP1, vanilla","n1o3m8uw","finished","ricu","","","2024-01-04T09:05:04.000Z","2024-01-04T09:09:46.000Z","2024-01-04T09:09:46.000Z","","drax","","","","2","NVIDIA A40","0.32","0.00001","pcid_1411","2","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_130","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.7177375068643602","0.7215815485996705","12","416","0.590733528137207","4","160","17","0.6838393807411194","0.8895689249038696","0.3224046528339386","0.2940473258495331","0.8613955974578857","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19_S1_ID_129_VAN","267","-","NEW_GRAD_OUTPUT, SWP1, vanilla","f32sj5q8","finished","ricu","","","2024-01-04T09:00:16.000Z","2024-01-04T09:04:43.000Z","2024-01-04T09:04:43.000Z","","drax","","","","2","NVIDIA A40","0.32","0.00001","pcid_1411","1","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_129","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.7279882848251876","0.7354933186893649","11","384","0.5504604578018188","6","224","16","0.6723576188087463","0.9035199880599976","0.3416145443916321","0.26505786180496216","0.8875756859779358","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19_S1_ID_128_VAN","223","-","NEW_GRAD_OUTPUT, SWP1, vanilla","be5oow9f","finished","ricu","","","2024-01-04T08:56:11.000Z","2024-01-04T08:59:54.000Z","2024-01-04T08:59:54.000Z","","drax","","","","2","NVIDIA A40","0.32","0.00002","pcid_1410","3","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_128","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.6889987186527549","0.7230459454512173","8","288","0.5897945165634155","3","128","13","1.0539617538452148","0.9461627006530762","0.4132600426673889","0.1434432864189148","0.9405368566513062","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19_S1_ID_127_VAN","162","-","NEW_GRAD_OUTPUT, SWP1, vanilla","vg7z8h08","finished","ricu","","","2024-01-04T08:53:08.000Z","2024-01-04T08:55:50.000Z","2024-01-04T08:55:50.000Z","","drax","","","","2","NVIDIA A40","0.32","0.00002","pcid_1410","2","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_127","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.7155409115870401","0.7435475013728721","4","160","0.5551637411117554","4","160","9","0.744665801525116","0.9176416397094728","0.3672252595424652","0.25200092792510986","0.882502555847168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19_S1_ID_126_VAN","163","-","NEW_GRAD_OUTPUT, SWP1, vanilla","2q3nncv5","finished","ricu","","","2024-01-04T08:50:04.000Z","2024-01-04T08:52:47.000Z","2024-01-04T08:52:47.000Z","","drax","","","","2","NVIDIA A40","0.32","0.00002","pcid_1410","1","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_126","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.6955885044847153","0.7393373604246751","4","160","0.5564612150192261","4","160","9","0.808966338634491","0.9218142032623292","0.37178757786750793","0.2229471653699875","0.9035054445266724","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19_S1_ID_125_VAN","221","-","NEW_GRAD_OUTPUT, SWP1, vanilla","i3d11034","finished","ricu","","","2024-01-04T08:46:03.000Z","2024-01-04T08:49:44.000Z","2024-01-04T08:49:44.000Z","","drax","","","","2","NVIDIA A40","0.32","0.00004","pcid_1409","3","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_125","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.7089511257550797","0.7272560863994142","8","288","0.613079309463501","2","96","13","1.2861286401748655","0.9683968424797058","0.4511847496032715","0.04828080162405968","0.9825578927993774","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
