,task_name,learning_rate,num_train_epochs,max_train_steps,output_dir,hidden_dropout,train_data_frac,use_pretrain_dropout_in_first_pass,use_modded,eval_accuracy
0,wnli,5e-05,5,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_124541,0.1,1.0,True,True,0.43661971830985913
1,wnli,5e-05,10,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_124643,0.1,1.0,True,True,0.28169014084507044
2,wnli,5e-05,20,400,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_124755,0.1,1.0,True,True,0.11267605633802817
3,wnli,5e-05,5,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_125003,0.1,1.0,True,False,0.5492957746478874
4,wnli,5e-05,10,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_125034,0.1,1.0,True,False,0.4647887323943662
5,wnli,5e-05,20,400,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_125120,0.1,1.0,True,False,0.11267605633802817
6,wnli,5e-05,5,50,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_125238,0.1,0.5,True,True,0.352112676056338
7,wnli,5e-05,10,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_125308,0.1,0.5,True,True,0.29577464788732394
8,wnli,5e-05,20,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_125353,0.1,0.5,True,True,0.29577464788732394
9,wnli,5e-05,5,50,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_125508,0.1,0.5,True,False,0.323943661971831
10,wnli,5e-05,10,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_125531,0.1,0.5,True,False,0.323943661971831
11,wnli,5e-05,20,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_125603,0.1,0.5,True,False,0.323943661971831
12,wnli,5e-05,10,20,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_125710,0.1,0.1,True,True,0.4225352112676056
13,wnli,5e-05,5,10,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_125652,0.1,0.1,True,True,0.4084507042253521
14,wnli,5e-05,5,10,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_125804,0.1,0.1,True,False,0.38028169014084506
15,wnli,5e-05,20,40,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_125734,0.1,0.1,True,True,0.4084507042253521
16,wnli,5e-05,20,40,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_125841,0.1,0.1,True,False,0.4507042253521127
17,wnli,5e-05,10,20,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_125821,0.1,0.1,True,False,0.4084507042253521
18,wnli,5e-05,5,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_125907,0.1,1.0,False,True,0.43661971830985913
19,wnli,5e-05,10,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_125950,0.1,1.0,False,True,0.23943661971830985
20,wnli,5e-05,20,400,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_130102,0.1,1.0,False,True,0.09859154929577464
21,wnli,5e-05,5,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_130309,0.1,1.0,False,False,0.5492957746478874
22,wnli,5e-05,10,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_130342,0.1,1.0,False,False,0.4647887323943662
23,wnli,5e-05,20,400,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_130429,0.1,1.0,False,False,0.11267605633802817
24,wnli,5e-05,5,50,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_130546,0.1,0.5,False,True,0.28169014084507044
25,wnli,5e-05,10,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_130616,0.1,0.5,False,True,0.28169014084507044
26,wnli,5e-05,20,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_130701,0.1,0.5,False,True,0.30985915492957744
27,wnli,5e-05,5,50,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_130815,0.1,0.5,False,False,0.323943661971831
28,wnli,5e-05,10,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_130840,0.1,0.5,False,False,0.323943661971831
29,wnli,5e-05,20,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_130912,0.1,0.5,False,False,0.323943661971831
30,wnli,5e-05,10,20,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_131019,0.1,0.1,False,True,0.4084507042253521
31,wnli,5e-05,5,10,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_131001,0.1,0.1,False,True,0.38028169014084506
32,wnli,5e-05,5,10,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_131112,0.1,0.1,False,False,0.38028169014084506
33,wnli,5e-05,20,40,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_131041,0.1,0.1,False,True,0.4788732394366197
34,wnli,5e-05,20,40,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_131149,0.1,0.1,False,False,0.4507042253521127
35,wnli,5e-05,10,20,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_131129,0.1,0.1,False,False,0.4084507042253521
36,wnli,5e-05,5,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_131215,0.5,1.0,True,True,0.4507042253521127
37,wnli,5e-05,10,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_131259,0.5,1.0,True,True,0.5633802816901409
38,wnli,5e-05,20,400,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_131411,0.5,1.0,True,True,0.49295774647887325
39,wnli,5e-05,5,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_131619,0.5,1.0,True,False,0.4788732394366197
40,wnli,5e-05,10,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_131651,0.5,1.0,True,False,0.49295774647887325
41,wnli,5e-05,20,400,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_131738,0.5,1.0,True,False,0.5492957746478874
42,wnli,5e-05,5,50,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_131856,0.5,0.5,True,True,0.43661971830985913
43,wnli,5e-05,10,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_131926,0.5,0.5,True,True,0.43661971830985913
44,wnli,5e-05,20,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_132011,0.5,0.5,True,True,0.4084507042253521
45,wnli,5e-05,5,50,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_132127,0.5,0.5,True,False,0.4225352112676056
46,wnli,5e-05,20,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_132223,0.5,0.5,True,False,0.43661971830985913
47,wnli,5e-05,10,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_132150,0.5,0.5,True,False,0.43661971830985913
48,wnli,5e-05,5,10,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_132312,0.5,0.1,True,True,0.4225352112676056
49,wnli,5e-05,10,20,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_132331,0.5,0.1,True,True,0.4507042253521127
50,wnli,5e-05,20,40,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_132354,0.5,0.1,True,True,0.4647887323943662
51,wnli,5e-05,5,10,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_132424,0.5,0.1,True,False,0.43661971830985913
52,wnli,5e-05,10,20,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_132442,0.5,0.1,True,False,0.43661971830985913
53,wnli,5e-05,20,40,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_132503,0.5,0.1,True,False,0.4225352112676056
54,wnli,5e-05,5,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_132527,0.5,1.0,False,True,0.4647887323943662
55,wnli,5e-05,10,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_132611,0.5,1.0,False,True,0.5774647887323944
56,wnli,5e-05,20,400,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_132722,0.5,1.0,False,True,0.5633802816901409
57,wnli,5e-05,5,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_132929,0.5,1.0,False,False,0.4788732394366197
58,wnli,5e-05,10,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_132959,0.5,1.0,False,False,0.49295774647887325
59,wnli,5e-05,20,400,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_133044,0.5,1.0,False,False,0.5492957746478874
60,wnli,5e-05,5,50,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_133201,0.5,0.5,False,True,0.4084507042253521
61,wnli,5e-05,10,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_133230,0.5,0.5,False,True,0.43661971830985913
62,wnli,5e-05,20,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_133313,0.5,0.5,False,True,0.4647887323943662
63,wnli,5e-05,5,50,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_133426,0.5,0.5,False,False,0.4225352112676056
64,wnli,5e-05,10,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_133448,0.5,0.5,False,False,0.43661971830985913
65,wnli,5e-05,20,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_133519,0.5,0.5,False,False,0.43661971830985913
66,wnli,5e-05,5,10,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_133607,0.5,0.1,False,True,0.4225352112676056
67,wnli,5e-05,10,20,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_133624,0.5,0.1,False,True,0.4225352112676056
68,wnli,5e-05,20,40,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_133648,0.5,0.1,False,True,0.4507042253521127
69,wnli,5e-05,5,10,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_133717,0.5,0.1,False,False,0.43661971830985913
70,wnli,5e-05,10,20,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_133736,0.5,0.1,False,False,0.43661971830985913
71,wnli,5e-05,20,40,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_133756,0.5,0.1,False,False,0.4225352112676056
72,wnli,5e-05,5,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_133820,0.8,1.0,True,True,0.4225352112676056
73,wnli,5e-05,10,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_133903,0.8,1.0,True,True,0.49295774647887325
74,wnli,5e-05,20,400,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_134013,0.8,1.0,True,True,0.49295774647887325
75,wnli,5e-05,5,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_134220,0.8,1.0,True,False,0.4225352112676056
76,wnli,5e-05,10,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_134249,0.8,1.0,True,False,0.43661971830985913
77,wnli,5e-05,20,400,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_134334,0.8,1.0,True,False,0.4788732394366197
78,wnli,5e-05,5,50,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_134450,0.8,0.5,True,True,0.4225352112676056
79,wnli,5e-05,10,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_134518,0.8,0.5,True,True,0.4507042253521127
80,wnli,5e-05,20,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_134601,0.8,0.5,True,True,0.4084507042253521
81,wnli,5e-05,5,50,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_134714,0.8,0.5,True,False,0.43661971830985913
